time_s,time_us,azimuth,elevation,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
1633358831,866804,0.0,10.0,0,0,0,2021-10-04T17:47:11,1633358832.4025328,2021-10-04T17:47:12
1633358836,561168,0.0,-10.0,0,0,0,2021-10-04T17:47:16,1633358837.090461,2021-10-04T17:47:17
1633358843,955758,0.0,-10.0,0,0,0,2021-10-04T17:47:23,1633358844.522464,2021-10-04T17:47:24
1633358848,944627,0.0,10.0,0,0,0,2021-10-04T17:47:28,1633358849.4744039,2021-10-04T17:47:29
1633358860,178489,10.0,0.0,0,0,0,2021-10-04T17:47:40,1633358860.7206478,2021-10-04T17:47:40
1633359110,795202,-10.0,0.0,0,0,0,2021-10-04T17:51:50,1633359111.3257089,2021-10-04T17:51:51
1633359130,541296,0.0,10.0,0,0,0,2021-10-04T17:52:10,1633359131.06808,2021-10-04T17:52:11
1633359134,56448,0.0,10.0,0,0,0,2021-10-04T17:52:14,1633359134.8228688,2021-10-04T17:52:14
1633359135,705191,0.0,10.0,0,0,0,2021-10-04T17:52:15,1633359136.2334368,2021-10-04T17:52:16
1633359280,372396,0.0,10.0,0,0,0,2021-10-04T17:54:40,1633359280.9011478,2021-10-04T17:54:40
1633359285,877892,0.0,-10.0,0,0,0,2021-10-04T17:54:45,1633359286.405189,2021-10-04T17:54:46
1633359343,90172,0.0,10.0,0,0,0,2021-10-04T17:55:43,1633359343.6214368,2021-10-04T17:55:43
1633359776,366736,50.0,0.0,0,0,0,2021-10-04T18:02:56,1633359776.902148,2021-10-04T18:02:56
1633359784,440610,0.0,-10.0,0,0,0,2021-10-04T18:03:04,1633359784.977092,2021-10-04T18:03:04
1633359838,149178,-50.0,0.0,0,0,0,2021-10-04T18:03:58,1633359838.6869519,2021-10-04T18:03:58
1633359842,529373,-50.0,0.0,0,0,0,2021-10-04T18:04:02,1633359843.153204,2021-10-04T18:04:03
1633359852,297770,0.0,-1.0,0,0,0,2021-10-04T18:04:12,1633359852.835136,2021-10-04T18:04:12
1633359853,317481,0.0,-1.0,0,0,0,2021-10-04T18:04:13,1633359853.858485,2021-10-04T18:04:13
1633359865,289708,0.0,-10.0,0,0,0,2021-10-04T18:04:25,1633359865.8269758,2021-10-04T18:04:25
1633359866,788890,-10.0,0.0,0,0,0,2021-10-04T18:04:26,1633359867.325845,2021-10-04T18:04:27
1633359869,241699,0.0,10.0,0,0,0,2021-10-04T18:04:29,1633359869.7822878,2021-10-04T18:04:29
1633359871,599765,0.0,10.0,0,0,0,2021-10-04T18:04:31,1633359872.136693,2021-10-04T18:04:32
1633359885,10442,0.0,-10.0,0,0,0,2021-10-04T18:04:45,1633359885.550196,2021-10-04T18:04:45
1633359991,221475,0.0,-10.0,0,0,0,2021-10-04T18:06:31,1633359991.7606518,2021-10-04T18:06:31
1633359993,170294,0.0,-10.0,0,0,0,2021-10-04T18:06:33,1633359993.7161849,2021-10-04T18:06:33
1633360855,961397,0.0,-10.0,0,0,0,2021-10-04T18:20:55,1633360856.525269,2021-10-04T18:20:56
1633360881,463560,0.0,-10.0,0,0,0,2021-10-04T18:21:21,1633360882.028764,2021-10-04T18:21:22
