time_s,time_us,time_steady,state,pump_on,pump_on_time_steady,pump_off,pump_off_time_steady,valve_open,valve_open_time_steady,valve_close,valve_close_time_steady,seq,srcSystem,srcComponent,time_gregorian
1633358496,67000,1457577,0,72,1430551,141,1430751,9,1360351,17,1430751,134,13,0,1980-01-06T03:24:18
1633358497,66900,1458577,0,72,1430551,141,1430751,9,1360351,17,1430751,147,13,0,1980-01-06T03:24:19
1633358498,66900,1459577,0,72,1430551,141,1430751,9,1360351,17,1430751,158,13,0,1980-01-06T03:24:20
1633358499,67000,1460577,0,72,1430551,141,1430751,9,1360351,17,1430751,170,13,0,1980-01-06T03:24:21
1633358500,66900,1461577,0,72,1430551,141,1430751,9,1360351,17,1430751,182,13,0,1980-01-06T03:24:22
1633358501,66900,1462577,0,72,1430551,141,1430751,9,1360351,17,1430751,193,13,0,1980-01-06T03:24:23
1633358502,67000,1463577,0,72,1430551,141,1430751,9,1360351,17,1430751,206,13,0,1980-01-06T03:24:24
1633358503,66900,1464577,0,72,1430551,141,1430751,9,1360351,17,1430751,218,13,0,1980-01-06T03:24:25
1633358504,66900,1465577,0,72,1430551,141,1430751,9,1360351,17,1430751,229,13,0,1980-01-06T03:24:26
1633358505,67000,1466577,0,72,1430551,141,1430751,9,1360351,17,1430751,241,13,0,1980-01-06T03:24:27
1633358506,66900,1467577,0,72,1430551,141,1430751,9,1360351,17,1430751,253,13,0,1980-01-06T03:24:28
1633358507,66900,1468577,0,72,1430551,141,1430751,9,1360351,17,1430751,9,13,0,1980-01-06T03:24:29
1633358508,67000,1469577,0,72,1430551,141,1430751,9,1360351,17,1430751,21,13,0,1980-01-06T03:24:30
1633358509,66900,1470577,0,72,1430551,141,1430751,9,1360351,17,1430751,33,13,0,1980-01-06T03:24:31
1633358510,66900,1471577,0,72,1430551,141,1430751,9,1360351,17,1430751,44,13,0,1980-01-06T03:24:32
1633358511,67000,1472577,0,72,1430551,141,1430751,9,1360351,17,1430751,56,13,0,1980-01-06T03:24:33
1633358512,66900,1473577,0,72,1430551,141,1430751,9,1360351,17,1430751,69,13,0,1980-01-06T03:24:34
1633358513,66900,1474577,0,72,1430551,141,1430751,9,1360351,17,1430751,80,13,0,1980-01-06T03:24:35
1633358514,67000,1475577,0,72,1430551,141,1430751,9,1360351,17,1430751,92,13,0,1980-01-06T03:24:36
1633358515,66900,1476577,0,72,1430551,141,1430751,9,1360351,17,1430751,104,13,0,1980-01-06T03:24:37
1633358516,66900,1477577,0,72,1430551,141,1430751,9,1360351,17,1430751,115,13,0,1980-01-06T03:24:38
1633358517,67000,1478577,0,72,1430551,141,1430751,9,1360351,17,1430751,127,13,0,1980-01-06T03:24:39
1633358518,66900,1479577,0,72,1430551,141,1430751,9,1360351,17,1430751,138,13,0,1980-01-06T03:24:40
1633358519,66900,1480577,0,72,1430551,141,1430751,9,1360351,17,1430751,148,13,0,1980-01-06T03:24:41
1633358520,67000,1481577,3,73,1481551,141,1430751,10,1481551,17,1430751,159,13,0,1980-01-06T03:24:42
1633358521,66900,1482577,3,73,1481551,141,1430751,10,1481551,17,1430751,171,13,0,1980-01-06T03:24:43
1633358522,66900,1483577,3,73,1481551,141,1430751,10,1481551,17,1430751,183,13,0,1980-01-06T03:24:44
1633358523,67000,1484577,3,73,1481551,141,1430751,10,1481551,17,1430751,195,13,0,1980-01-06T03:24:45
1633358524,66900,1485577,3,73,1481551,141,1430751,10,1481551,17,1430751,207,13,0,1980-01-06T03:24:46
1633358525,66900,1486577,3,73,1481551,141,1430751,10,1481551,17,1430751,218,13,0,1980-01-06T03:24:47
1633358526,67000,1487577,3,73,1481551,141,1430751,10,1481551,17,1430751,229,13,0,1980-01-06T03:24:48
1633358527,66900,1488577,3,73,1481551,141,1430751,10,1481551,17,1430751,241,13,0,1980-01-06T03:24:49
1633358528,66900,1489577,3,73,1481551,141,1430751,10,1481551,17,1430751,251,13,0,1980-01-06T03:24:50
1633358529,67000,1490577,3,73,1481551,141,1430751,10,1481551,17,1430751,6,13,0,1980-01-06T03:24:51
1633358530,66900,1491577,3,73,1481551,141,1430751,10,1481551,17,1430751,17,13,0,1980-01-06T03:24:52
1633358531,66900,1492577,1,78,1492551,141,1430751,10,1481551,18,1491751,27,13,0,1980-01-06T03:24:53
1633358532,67000,1493577,1,83,1493551,141,1430751,10,1481551,18,1491751,39,13,0,1980-01-06T03:24:54
1633358533,66900,1494577,1,88,1494551,141,1430751,10,1481551,18,1491751,50,13,0,1980-01-06T03:24:55
1633358534,66900,1495577,1,93,1495551,141,1430751,10,1481551,18,1491751,60,13,0,1980-01-06T03:24:56
1633358535,67000,1496577,1,98,1496551,141,1430751,10,1481551,18,1491751,71,13,0,1980-01-06T03:24:57
1633358536,66900,1497577,1,103,1497551,141,1430751,10,1481551,18,1491751,82,13,0,1980-01-06T03:24:58
1633358537,66900,1498577,1,108,1498551,141,1430751,10,1481551,18,1491751,93,13,0,1980-01-06T03:24:59
1633358538,67000,1499577,1,113,1499551,141,1430751,10,1481551,18,1491751,104,13,0,1980-01-06T03:25:00
1633358539,66900,1500577,1,118,1500551,141,1430751,10,1481551,18,1491751,115,13,0,1980-01-06T03:25:01
1633358540,66900,1501577,1,123,1501551,141,1430751,10,1481551,18,1491751,125,13,0,1980-01-06T03:25:02
1633358541,67000,1502577,1,128,1502551,141,1430751,10,1481551,18,1491751,136,13,0,1980-01-06T03:25:03
1633358542,66900,1503577,1,133,1503551,141,1430751,10,1481551,18,1491751,148,13,0,1980-01-06T03:25:04
1633358543,66900,1504577,1,138,1504551,141,1430751,10,1481551,18,1491751,158,13,0,1980-01-06T03:25:05
1633358544,67000,1505577,1,143,1505551,141,1430751,10,1481551,18,1491751,169,13,0,1980-01-06T03:25:06
1633358545,66900,1506577,1,148,1506551,141,1430751,10,1481551,18,1491751,180,13,0,1980-01-06T03:25:07
1633358546,66900,1507577,1,153,1507551,141,1430751,10,1481551,18,1491751,190,13,0,1980-01-06T03:25:08
1633358547,67000,1508577,1,158,1508551,141,1430751,10,1481551,18,1491751,202,13,0,1980-01-06T03:25:09
1633358548,66900,1509577,1,163,1509551,141,1430751,10,1481551,18,1491751,213,13,0,1980-01-06T03:25:10
1633358549,66900,1510577,1,168,1510551,141,1430751,10,1481551,18,1491751,223,13,0,1980-01-06T03:25:11
1633358550,67000,1511577,1,173,1511551,141,1430751,10,1481551,18,1491751,234,13,0,1980-01-06T03:25:12
1633358551,66900,1512577,1,178,1512551,141,1430751,10,1481551,18,1491751,245,13,0,1980-01-06T03:25:13
1633358552,66900,1513577,1,183,1513551,141,1430751,10,1481551,18,1491751,0,13,0,1980-01-06T03:25:14
1633358553,67000,1514577,1,188,1514551,141,1430751,10,1481551,18,1491751,11,13,0,1980-01-06T03:25:15
1633358554,66900,1515577,1,193,1515551,141,1430751,10,1481551,18,1491751,22,13,0,1980-01-06T03:25:16
1633358555,66900,1516577,1,198,1516551,141,1430751,10,1481551,18,1491751,32,13,0,1980-01-06T03:25:17
1633358556,67000,1517577,1,203,1517551,141,1430751,10,1481551,18,1491751,43,13,0,1980-01-06T03:25:18
1633358557,66900,1518577,1,208,1518551,141,1430751,10,1481551,18,1491751,55,13,0,1980-01-06T03:25:19
