time_s,time_us,time_steady,temperature,pressure,humidity,altitude,seq,srcSystem,srcComponent,time_gregorian
1633362768,610700,198132,0,30000,0,9177.1826171875,176,13,2,1980-01-06T03:03:15
1633362769,610700,199132,0,30000,0,9177.1826171875,188,13,2,1980-01-06T03:03:16
1633362770,610600,200132,0,30000,0,9177.1826171875,199,13,2,1980-01-06T03:03:17
1633362773,644900,201132,0,30000,0,9177.1826171875,212,13,2,1980-01-06T03:03:20
1633362774,644900,202132,0,30000,0,9177.1826171875,223,13,2,1980-01-06T03:03:21
1633362775,644900,203132,0,30000,0,9177.1826171875,234,13,2,1980-01-06T03:03:22
1633362776,644900,204132,0,30000,0,9177.1826171875,248,13,2,1980-01-06T03:03:23
1633362777,644900,205132,0,30000,0,9177.1826171875,3,13,2,1980-01-06T03:03:24
1633362778,644900,206132,0,30000,0,9177.1826171875,14,13,2,1980-01-06T03:03:25
1633362779,644900,207132,0,30000,0,9177.1826171875,27,13,2,1980-01-06T03:03:26
1633362780,644900,208132,0,30000,0,9177.1826171875,38,13,2,1980-01-06T03:03:27
1633362781,645000,209132,0,30000,0,9177.1826171875,50,13,2,1980-01-06T03:03:28
1633362782,645000,210132,0,30000,0,9177.1826171875,63,13,2,1980-01-06T03:03:29
1633362783,644900,211132,0,30000,0,9177.1826171875,74,13,2,1980-01-06T03:03:30
1633362784,644900,212132,0,30000,0,9177.1826171875,85,13,2,1980-01-06T03:03:31
1633362785,644900,213132,0,30000,0,9177.1826171875,98,13,2,1980-01-06T03:03:32
1633362786,644900,214132,0,30000,0,9177.1826171875,110,13,2,1980-01-06T03:03:33
1633362787,644900,215132,0,30000,0,9177.1826171875,121,13,2,1980-01-06T03:03:34
1633362788,644900,216132,0,30000,0,9177.1826171875,134,13,2,1980-01-06T03:03:35
1633362789,644900,217132,0,30000,0,9177.1826171875,145,13,2,1980-01-06T03:03:36
1633362790,644900,218132,0,30000,0,9177.1826171875,156,13,2,1980-01-06T03:03:37
1633362791,645000,219132,0,30000,0,9177.1826171875,170,13,2,1980-01-06T03:03:38
1633362792,645000,220132,0,30000,0,9177.1826171875,181,13,2,1980-01-06T03:03:39
1633362793,644900,221132,0,30000,0,9177.1826171875,192,13,2,1980-01-06T03:03:40
1633362794,644900,222132,0,30000,0,9177.1826171875,205,13,2,1980-01-06T03:03:41
1633362795,644900,223132,0,30000,0,9177.1826171875,216,13,2,1980-01-06T03:03:42
1633362796,644900,224132,0,30000,0,9177.1826171875,228,13,2,1980-01-06T03:03:43
1633362797,644900,225132,0,30000,0,9177.1826171875,241,13,2,1980-01-06T03:03:44
1633362798,644900,226132,0,30000,0,9177.1826171875,252,13,2,1980-01-06T03:03:45
1633362799,644900,227132,0,30000,0,9177.1826171875,7,13,2,1980-01-06T03:03:46
1633362800,644900,228132,0,30000,0,9177.1826171875,20,13,2,1980-01-06T03:03:47
1633362801,645000,229132,0,30000,0,9177.1826171875,32,13,2,1980-01-06T03:03:48
1633362802,645000,230132,0,30000,0,9177.1826171875,43,13,2,1980-01-06T03:03:49
