time_s,time_us,cookie,snr,frame_no,tap_bytes,rssi_bytes,crc_bytes,time_gregorian,log_timestamp,log_timestamp_gregorian
1633357806,6050670,831,10,859,00000000000000000000000000,0a00c890e0,d79f,2021-10-04T17:30:12,1633357806.607201,2021-10-04T17:30:06
1633357807,1903886,832,14,860,00000000000000000000000000,0e00c890e0,5479,2021-10-04T17:30:08,1633357807.192378,2021-10-04T17:30:07
1633357811,1561918,833,10,863,00000000000000000000000000,0a00c890e0,78de,2021-10-04T17:30:12,1633357811.158232,2021-10-04T17:30:11
1633357811,4520788,834,13,1996,00000000000000000000000000,0d00cc07f0,be41,2021-10-04T17:30:15,1633357811.453948,2021-10-04T17:30:11
1633357812,2905280,835,12,865,00000000000000000000000000,0c00c890e0,0ac3,2021-10-04T17:30:14,1633357812.292488,2021-10-04T17:30:12
1633357812,8924100,836,12,866,00000000000000000000000000,0c00c890e0,975c,2021-10-04T17:30:20,1633357812.894678,2021-10-04T17:30:12
1633357813,4934911,837,15,867,00000000000000000000000000,0f00c890e0,5e7e,2021-10-04T17:30:17,1633357813.495668,2021-10-04T17:30:13
1633357815,9631667,838,12,1988,00000000000000000000000000,0c00c40750,0000,2021-10-04T17:30:24,1633357815.966036,2021-10-04T17:30:15
1633357816,7501120,839,12,869,00000000000000000000000000,0c00c890e0,a285,2021-10-04T17:30:23,1633357816.752172,2021-10-04T17:30:16
1633357817,4672129,840,12,870,00000000000000000000000000,0c00c890e0,853b,2021-10-04T17:30:21,1633357817.469243,2021-10-04T17:30:17
1633357817,9628391,841,11,871,00000000000000000000000000,0b00c890e0,e115,2021-10-04T17:30:26,1633357817.964972,2021-10-04T17:30:17
1633357818,6290924,842,12,872,00000000000000000000000000,0c00c890e0,cf56,2021-10-04T17:30:24,1633357818.631095,2021-10-04T17:30:18
1633357822,6535942,843,12,875,00000000000000000000000000,0c00c890e0,3413,2021-10-04T17:30:28,1633357822.656424,2021-10-04T17:30:22
1633357823,875844,844,15,876,00000000000000000000000000,0f00c890e0,8c2b,2021-10-04T17:30:23,1633357823.089538,2021-10-04T17:30:23
1633357824,2307796,845,1,878,00000000000000000000000000,0100c890e0,dfce,2021-10-04T17:30:26,1633357824.23281,2021-10-04T17:30:24
1633357825,4258408,846,14,880,00000000000000000000000000,0e00c890e0,4dc6,2021-10-04T17:30:29,1633357825.42781,2021-10-04T17:30:25
1633357826,929689,847,13,881,00000000000000000000000000,0d00c890e0,9ddb,2021-10-04T17:30:26,1633357826.095014,2021-10-04T17:30:26
1633357828,6748013,848,9,882,00000000000000000000000000,0900c890e0,eee5,2021-10-04T17:30:34,1633357828.677026,2021-10-04T17:30:28
1633357829,9987189,849,14,884,00000000000000000000000000,0e00c890e0,dadd,2021-10-04T17:30:38,1633357830.000777,2021-10-04T17:30:30
