time_s,time_us,time_steady,temperature,pressure,humidity,altitude,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965509,993100,710152,4.890670427795067,104391.74512229495,32.822649817103645,-252.201416015625,221,13,2,1980-01-06T03:11:49,1633357753.317013,2021-10-04T17:29:13
315965517,993200,718152,4.778858701570516,98972.90963393007,32.789609311378676,197.6666717529297,60,13,2,1980-01-06T03:11:57,1633357760.1388118,2021-10-04T17:29:20
315965523,993100,724152,4.686003665758676,95123.17227308993,32.779345657209056,529.5846557617188,132,13,2,1980-01-06T03:12:03,1633357766.3669438,2021-10-04T17:29:26
315965530,993100,731152,4.545918047468535,90923.12743554037,32.77547215508627,904.39599609375,214,13,2,1980-01-06T03:12:10,1633357773.1773648,2021-10-04T17:29:33
315965536,993200,737152,4.4627021517685534,87940.20355706266,32.765081138400404,1179.2254638671875,29,13,2,1980-01-06T03:12:16,1633357779.467201,2021-10-04T17:29:39
315965544,993100,745152,4.334504840063187,84060.32653695613,32.801303193790964,1548.2613525390625,125,13,2,1980-01-06T03:12:24,1633357786.887593,2021-10-04T17:29:46
315965550,993100,751152,4.239401186914279,81224.19150988942,32.819812118643604,1826.8773193359375,196,13,2,1980-01-06T03:12:30,1633357793.146977,2021-10-04T17:29:53
315965558,993200,759152,4.1070273490169935,77872.31806945291,32.833050280847715,2166.535888671875,36,13,2,1980-01-06T03:12:38,1633357799.968561,2021-10-04T17:29:59
315965564,993100,765152,3.9958591779232164,75417.58806770937,32.84599654415022,2422.898681640625,107,13,2,1980-01-06T03:12:44,1633357806.238816,2021-10-04T17:30:06
315965572,993100,773152,3.881156901275972,72497.41841680642,32.89918977448379,2736.85107421875,200,13,2,1980-01-06T03:12:52,1633357815.777601,2021-10-04T17:30:15
315965578,993200,779152,3.774487126971144,70371.28093743185,32.94076092809184,2971.962158203125,16,13,2,1980-01-06T03:12:58,1633357822.0374599,2021-10-04T17:30:22
315965586,993100,787152,3.595205077754599,67893.23866800076,33.00044149722946,3253.3837890625,111,13,2,1980-01-06T03:13:06,1633357828.956873,2021-10-04T17:30:28
315965592,993100,793152,3.530625071476993,66281.63446682502,33.058646223399414,3440.91650390625,182,13,2,1980-01-06T03:13:12,1633357835.856981,2021-10-04T17:30:35
315965600,993200,801152,3.3613035815586954,64175.69024620795,33.158264632366205,3691.636962890625,22,13,2,1980-01-06T03:13:20,1633357842.7191448,2021-10-04T17:30:42
315965607,120200,807152,3.270699043010609,63057.067266312944,33.25112877837697,3827.54248046875,93,13,2,1980-01-06T03:13:27,1633357848.947249,2021-10-04T17:30:48
315965614,120200,814152,3.1704558291126888,85359.52475788878,33.69956644223544,1423.17529296875,176,13,2,1980-01-06T03:13:34,1633357855.7468688,2021-10-04T17:30:55
315965620,120200,820152,2.883221079078157,86960.74417660812,29.540240624064122,1271.11962890625,247,13,2,1980-01-06T03:13:40,1633357861.986889,2021-10-04T17:31:01
315965628,120200,828152,2.770447952467498,110000.0,29.106633186544105,-698.2388916015625,86,13,2,1980-01-06T03:13:48,1633357868.8070838,2021-10-04T17:31:08
315965634,120200,834152,2.6653859348982225,110000.0,29.51027242320815,-698.2388916015625,158,13,2,1980-01-06T03:13:54,1633357875.676853,2021-10-04T17:31:15
315965648,120200,848152,2.352449636510664,101604.16738238958,29.654137981055506,-23.21331214904785,66,13,2,1980-01-06T03:14:08,1633357890.7973878,2021-10-04T17:31:30
315965655,120200,855152,2.178311013509301,97244.10526875408,29.737780839107533,345.400390625,151,13,2,1980-01-06T03:14:15,1633357897.598268,2021-10-04T17:31:37
315965661,120200,861152,2.009313333393311,93550.97579511435,29.775444290017898,668.282470703125,222,13,2,1980-01-06T03:14:21,1633357903.846961,2021-10-04T17:31:43
315965669,120200,869152,1.778628794872202,89201.88897408398,29.882917975609917,1062.070556640625,60,13,2,1980-01-06T03:14:29,1633357911.286849,2021-10-04T17:31:51
315965676,120200,876152,1.605133845642922,85802.59307097217,29.972019238758776,1380.8697509765625,144,13,2,1980-01-06T03:14:36,1633357918.107748,2021-10-04T17:31:58
315965683,120200,883152,1.4615188329011517,109060.07868745075,32.12359609879549,-624.7932739257812,226,13,2,1980-01-06T03:14:43,1633357924.898653,2021-10-04T17:32:04
315965690,120200,890152,1.3047313378636545,103176.3225057561,32.2456763459527,-152.97796630859375,53,13,2,1980-01-06T03:14:50,1633357931.136968,2021-10-04T17:32:11
315965697,120200,897152,1.1447312634383935,97910.77043393366,32.082254541176574,288.17913818359375,137,13,2,1980-01-06T03:14:57,1633357937.967164,2021-10-04T17:32:17
315965703,120200,903152,0.9953338581254684,93521.73162403949,31.97015681286715,670.8797607421875,208,13,2,1980-01-06T03:15:03,1633357944.1968088,2021-10-04T17:32:24
315965717,120200,917152,0.664090165235416,84894.31802555319,31.718113037456597,1467.786376953125,117,13,2,1980-01-06T03:15:17,1633357959.997292,2021-10-04T17:32:39
315965725,120300,925152,0.46907140782604984,80715.38609372098,31.64110524336579,1877.6951904296875,213,13,2,1980-01-06T03:15:25,1633357966.846873,2021-10-04T17:32:46
315965731,120200,931152,0.32481562779578327,77707.42578774382,31.60329995070154,2183.549560546875,28,13,2,1980-01-06T03:15:31,1633357973.0990438,2021-10-04T17:32:53
