time_s,time_us,time_steady,sd_last_error,sd_error_count,sd_elapsed_time_from_msg,sd_last_state,imi_last_error,imi_error_count,imi_elapsed_time_from_msg,imi_last_state,sins_comm_last_error,sins_comm_error_count,sins_comm_elapsed_time_from_msg,sins_comm_last_state,wifi_last_error,wifi_error_count,wifi_elapsed_time_from_msg,wifi_last_state,network_last_error,network_error_count,network_elapsed_time_from_msg,network_last_state,sensors_last_error,sensors_error_count,sensors_elapsed_time_from_msg,sensors_last_state,time_sync_last_error,time_sync_error_count,time_sync_elapsed_time_from_msg,time_sync_last_state,radio_last_error,radio_error_count,radio_elapsed_time_from_msg,radio_last_state,shift_reg_last_error,shift_reg_error_count,shift_reg_elapsed_time_from_msg,shift_reg_last_state,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965572,225183,772003,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,14,10,0,1980-01-06T03:12:52,1633357815.777601,2021-10-04T17:30:15
315965586,225398,786003,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257153,56,10,0,1980-01-06T03:13:06,1633357828.956873,2021-10-04T17:30:28
315965599,224986,799003,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,95,10,0,1980-01-06T03:13:19,1633357842.118844,2021-10-04T17:30:42
315965612,264707,812004,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,134,10,0,1980-01-06T03:13:32,1633357855.1684449,2021-10-04T17:30:55
315965627,264118,827003,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279305728,179,10,0,1980-01-06T03:13:47,1633357868.8070838,2021-10-04T17:31:08
315965640,264098,840003,0,0,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279305728,218,10,0,1980-01-06T03:14:00,1633357881.927229,2021-10-04T17:31:21
315965654,273995,854013,0,0,59,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279305728,4,10,0,1980-01-06T03:14:14,1633357897.017324,2021-10-04T17:31:37
315965669,264478,869003,0,0,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279305728,49,10,0,1980-01-06T03:14:29,1633357911.286849,2021-10-04T17:31:51
315965682,264477,882003,0,0,86,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279305728,88,10,0,1980-01-06T03:14:42,1633357924.307065,2021-10-04T17:32:04
315965695,264477,895003,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,127,10,0,1980-01-06T03:14:55,1633357937.36706,2021-10-04T17:32:17
315965723,274227,923013,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,211,10,0,1980-01-06T03:15:23,1633357966.2474558,2021-10-04T17:32:46
315965736,273966,936013,0,0,99,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,250,10,0,1980-01-06T03:15:36,1633357979.4073958,2021-10-04T17:32:59
315965751,273950,951013,0,0,95,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,39,10,0,1980-01-06T03:15:51,1633357993.028972,2021-10-04T17:33:13
315965765,264472,965003,0,0,71,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,81,10,0,1980-01-06T03:16:05,1633358006.737565,2021-10-04T17:33:26
315965779,264105,979003,0,0,95,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,123,10,0,1980-01-06T03:16:19,1633358021.8373039,2021-10-04T17:33:41
315965792,264490,992003,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,162,10,0,1980-01-06T03:16:32,1633358035.4568279,2021-10-04T17:33:55
315965806,289749,1006003,0,0,79,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,204,10,0,1980-01-06T03:16:46,1633358048.527232,2021-10-04T17:34:08
315965820,289769,1020003,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,246,10,0,1980-01-06T03:17:00,1633358061.646821,2021-10-04T17:34:21
315965834,289753,1034003,0,0,97,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,32,10,0,1980-01-06T03:17:14,1633358075.40694,2021-10-04T17:34:35
315965847,289754,1047003,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257168,71,10,0,1980-01-06T03:17:27,1633358090.5370488,2021-10-04T17:34:50
315965861,289754,1061003,0,0,68,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278191633,113,10,0,1980-01-06T03:17:41,1633358104.206773,2021-10-04T17:35:04
315965875,289750,1075003,0,0,68,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278191633,155,10,0,1980-01-06T03:17:55,1633358117.316745,2021-10-04T17:35:17
315965891,289731,1091003,0,0,86,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279764496,203,10,0,1980-01-06T03:18:11,1633358132.9469879,2021-10-04T17:35:32
315965904,544688,1104013,0,0,86,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279764496,242,10,0,1980-01-06T03:18:24,1633358146.1168919,2021-10-04T17:35:46
315965919,535072,1119003,0,0,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4279240208,31,10,0,1980-01-06T03:18:39,1633358161.4070609,2021-10-04T17:36:01
315965932,535069,1132003,0,0,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278191633,70,10,0,1980-01-06T03:18:52,1633358175.1667929,2021-10-04T17:36:15
315965949,534701,1149003,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4286580241,121,10,0,1980-01-06T03:19:09,1633358190.857041,2021-10-04T17:36:30
315965963,535069,1163003,0,0,60,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4286580241,163,10,0,1980-01-06T03:19:23,1633358204.578541,2021-10-04T17:36:44
315965976,534666,1176003,0,0,52,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278191633,202,10,0,1980-01-06T03:19:36,1633358219.756757,2021-10-04T17:36:59
315965992,544537,1192013,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4278257176,250,10,0,1980-01-06T03:19:52,1633358234.798508,2021-10-04T17:37:14
