time_s,time_us,time_steady,temperature,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965589,15114,789010,-2.875,211,10,1,1980-01-06T03:13:09,1633357830.760524,2021-10-04T17:30:30
315965596,7807,796013,-3.1875,17,10,1,1980-01-06T03:13:16,1633357837.657469,2021-10-04T17:30:37
315965604,104226,803985,-3.3125,85,10,1,1980-01-06T03:13:24,1633357844.499413,2021-10-04T17:30:44
315965610,154711,810039,-3.9375,137,10,1,1980-01-06T03:13:30,1633357850.707545,2021-10-04T17:30:50
315965617,194503,817075,-4.75,199,10,1,1980-01-06T03:13:37,1633357859.6174169,2021-10-04T17:30:59
315965623,204114,823086,-5.1875,251,10,1,1980-01-06T03:13:43,1633357865.8770928,2021-10-04T17:31:05
315965630,254761,830143,-5.875,57,10,1,1980-01-06T03:13:50,1633357873.277413,2021-10-04T17:31:13
315965636,310226,836179,-6.1875,109,10,1,1980-01-06T03:13:56,1633357879.5470169,2021-10-04T17:31:19
315965643,314497,843213,-6.3125,171,10,1,1980-01-06T03:14:03,1633357886.327164,2021-10-04T17:31:26
315965650,415312,850373,-6.5,233,10,1,1980-01-06T03:14:10,1633357892.57726,2021-10-04T17:31:32
315965657,414215,857294,-6.75,39,10,1,1980-01-06T03:14:17,1633357899.366793,2021-10-04T17:31:39
315965665,454444,865335,-6.8125,107,10,1,1980-01-06T03:14:25,1633357906.2471318,2021-10-04T17:31:46
315965672,484617,872365,-6.75,169,10,1,1980-01-06T03:14:32,1633357913.0569959,2021-10-04T17:31:53
315965678,554286,878435,-6.75,221,10,1,1980-01-06T03:14:38,1633357919.2772129,2021-10-04T17:31:59
315965685,574113,885454,-6.8125,27,10,1,1980-01-06T03:14:45,1633357928.1992319,2021-10-04T17:32:08
315965691,594429,891493,-6.8125,79,10,1,1980-01-06T03:14:51,1633357934.416992,2021-10-04T17:32:14
315965699,646836,899624,-7.5625,151,10,1,1980-01-06T03:14:59,1633357941.8068879,2021-10-04T17:32:21
315965705,647031,905536,-7.8125,203,10,1,1980-01-06T03:15:05,1633357948.0581448,2021-10-04T17:32:28
315965712,684590,912633,-7.875,5,10,1,1980-01-06T03:15:12,1633357954.906937,2021-10-04T17:32:34
315965719,740201,919632,-7.8125,67,10,1,1980-01-06T03:15:19,1633357961.1970038,2021-10-04T17:32:41
315965726,736892,926633,-7.9375,129,10,1,1980-01-06T03:15:26,1633357968.01704,2021-10-04T17:32:48
315965733,855841,933730,-8.0625,191,10,1,1980-01-06T03:15:33,1633357974.8695278,2021-10-04T17:32:54
315965740,924123,940804,-8.25,253,10,1,1980-01-06T03:15:40,1633357981.75688,2021-10-04T17:33:01
315965746,986848,946877,-8.4375,49,10,1,1980-01-06T03:15:46,1633357987.9771369,2021-10-04T17:33:07
315965755,55426,954961,-8.875,121,10,1,1980-01-06T03:15:55,1633357997.516885,2021-10-04T17:33:17
315965761,128200,961006,-9.1875,173,10,1,1980-01-06T03:16:01,1633358003.806865,2021-10-04T17:33:23
315965768,156858,968054,-9.5625,231,10,1,1980-01-06T03:16:08,1633358010.637632,2021-10-04T17:33:30
315965775,244418,975207,-9.75,37,10,1,1980-01-06T03:16:15,1633358017.407009,2021-10-04T17:33:37
315965782,254941,982136,-9.9375,99,10,1,1980-01-06T03:16:22,1633358024.1972408,2021-10-04T17:33:44
315965789,254411,989131,-10.75,161,10,1,1980-01-06T03:16:29,1633358030.407176,2021-10-04T17:33:50
315965796,264803,996143,-11.0625,223,10,1,1980-01-06T03:16:36,1633358037.2176719,2021-10-04T17:33:57
315965802,309728,1002164,-11.25,19,10,1,1980-01-06T03:16:42,1633358043.4366999,2021-10-04T17:34:03
315965809,322311,1009204,-11.6875,81,10,1,1980-01-06T03:16:49,1633358050.317081,2021-10-04T17:34:10
315965815,382142,1015253,-11.625,133,10,1,1980-01-06T03:16:55,1633358056.5770888,2021-10-04T17:34:16
315965822,439433,1022294,-11.6875,195,10,1,1980-01-06T03:17:02,1633358066.157289,2021-10-04T17:34:26
315965830,512148,1030377,-11.9375,7,10,1,1980-01-06T03:17:10,1633358072.446969,2021-10-04T17:34:32
315965837,502187,1037369,-12.1875,69,10,1,1980-01-06T03:17:17,1633358079.287004,2021-10-04T17:34:39
315965844,579365,1044504,-12.5625,131,10,1,1980-01-06T03:17:24,1633358086.086936,2021-10-04T17:34:46
315965851,569481,1051453,-12.8125,193,10,1,1980-01-06T03:17:31,1633358092.9170358,2021-10-04T17:34:52
315965857,629773,1057551,-12.875,245,10,1,1980-01-06T03:17:37,1633358099.137204,2021-10-04T17:34:59
315965864,639465,1064525,-13.125,51,10,1,1980-01-06T03:17:44,1633358106.576881,2021-10-04T17:35:06
315965870,669487,1070599,-13.125,103,10,1,1980-01-06T03:17:50,1633358112.836652,2021-10-04T17:35:12
