time_s,time_us,time_steady,rx_packet_start_cnt,rx_packet_done_cnt,rx_cmds_start_cnt,rx_cmds_done_cnt,rx_drops_start_cnt,rx_drops_done_cnt,tx_psize_start_cnt,tx_psize_done_cnt,tx_packet_start_cnt,tx_packet_done_cnt,tx_zeroes_start_cnt,tx_zeroes_done_cnt,tx_empty_buffer_cnt,tx_overruns_cnt,cmds_get_size_cnt,cmds_get_packet_cnt,cmds_set_packet_cnt,cmds_invalid_cnt,restarts_cnt,berr_cnt,arlo_cnt,ovf_cnt,af_cnt,btf_cnt,tx_wrong_size_cnt,rx_wrong_size_cnt,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965818,127000,1017334,5,5,60344,60344,910,910,25790,25790,25788,25788,0,0,7851,72,33641,25788,915,0,0,0,0,0,7851,0,0,0,234,11,0,1980-01-06T03:16:58,1633358059.867017,2021-10-04T17:34:19
315965832,377000,1031569,5,5,61198,61198,923,923,26155,26155,26153,26153,0,0,7962,72,34117,26153,928,0,0,0,0,0,7962,0,0,0,86,11,0,1980-01-06T03:17:12,1633358073.647197,2021-10-04T17:34:33
315965846,623000,1045801,5,5,62052,62052,936,936,26520,26520,26518,26518,0,0,8073,72,34593,26518,941,0,0,0,0,0,8073,0,0,0,194,11,0,1980-01-06T03:17:26,1633358087.266788,2021-10-04T17:34:47
315965859,856000,1059022,5,5,62840,62840,948,948,26857,26857,26855,26855,0,0,8175,72,35032,26855,953,0,0,0,0,0,8175,0,0,0,20,11,0,1980-01-06T03:17:39,1633358100.336717,2021-10-04T17:35:00
315965874,101000,1073252,5,5,63674,63674,961,961,27212,27212,27210,27210,0,0,8286,72,35498,27210,966,0,0,0,0,0,8286,0,0,0,117,11,0,1980-01-06T03:17:54,1633358116.096824,2021-10-04T17:35:16
315965889,366000,1088502,5,5,64582,64582,975,975,27600,27600,27598,27598,0,0,8404,72,36004,27598,980,0,0,0,0,0,8404,0,0,0,252,11,0,1980-01-06T03:18:09,1633358131.746876,2021-10-04T17:35:31
315965903,612000,1102733,5,5,65442,65442,988,988,27968,27968,27966,27966,0,0,8514,72,36483,27966,993,0,0,0,0,0,8514,0,0,0,104,11,0,1980-01-06T03:18:23,1633358144.896632,2021-10-04T17:35:44
315965917,854000,1116962,5,5,750,750,1000,1000,28329,28329,28327,28327,0,0,8625,72,36954,28327,1005,0,0,0,0,0,8625,0,0,0,212,11,0,1980-01-06T03:18:37,1633358158.096801,2021-10-04T17:35:58
315965931,82000,1130177,5,5,1525,1525,1012,1012,28659,28659,28657,28657,0,0,8728,72,37387,28657,1017,0,0,0,0,0,8728,0,0,0,28,11,0,1980-01-06T03:18:51,1633358173.957048,2021-10-04T17:36:13
315965948,383000,1147460,5,5,2558,2558,1028,1028,29101,29101,29099,29098,0,0,8861,72,37962,29099,1033,0,0,0,0,0,8861,0,0,0,214,11,0,1980-01-06T03:19:08,1633358189.666772,2021-10-04T17:36:29
