time_s,time_us,time_steady,last_report_time,last_good_report_time,reports_counter,bad_reports_counter,last_mistake,ignorance_depth,punishments_counter,last_punishment_time,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965860,874000,1060038,1060038,1060038,26887,1,-11,0,0,0,47,11,0,1980-01-06T03:17:40,1633358103.026949,2021-10-04T17:35:03
315965874,101000,1073252,1073252,1073252,27214,1,-11,0,0,0,118,11,0,1980-01-06T03:17:54,1633358116.7167199,2021-10-04T17:35:16
315965890,384000,1089519,1089519,1089519,27631,1,-11,0,0,0,23,11,0,1980-01-06T03:18:10,1633358131.746876,2021-10-04T17:35:31
315965903,612000,1102733,1102733,1102733,27969,1,-11,0,0,0,105,11,0,1980-01-06T03:18:23,1633358145.516928,2021-10-04T17:35:45
315965917,854000,1116962,1116962,1116962,28333,1,-11,0,0,0,213,11,0,1980-01-06T03:18:37,1633358158.708129,2021-10-04T17:35:58
315965932,100000,1131193,1131193,1131193,28686,1,-11,0,0,0,54,11,0,1980-01-06T03:18:52,1633358173.957048,2021-10-04T17:36:13
315965949,400000,1148477,1148477,1148477,29128,1,-11,0,0,0,240,11,0,1980-01-06T03:19:09,1633358190.2678518,2021-10-04T17:36:30
315965962,633000,1161695,1161695,1161695,29467,1,-11,0,0,0,67,11,0,1980-01-06T03:19:22,1633358203.376745,2021-10-04T17:36:43
315965975,861000,1174910,1174910,1174910,29805,1,-11,0,0,0,149,11,0,1980-01-06T03:19:35,1633358216.436789,2021-10-04T17:36:56
315965992,146000,1191179,1191179,1191179,30209,1,-11,0,0,0,41,11,0,1980-01-06T03:19:52,1633358234.207237,2021-10-04T17:37:14
315966019,557000,1218568,1218568,1218568,30884,1,-11,0,0,0,204,11,0,1980-01-06T03:20:19,1633358261.066576,2021-10-04T17:37:41
315966033,803000,1232800,1232800,1232800,31248,1,-11,0,0,0,56,11,0,1980-01-06T03:20:33,1633358276.6769118,2021-10-04T17:37:56
315966050,85000,1249066,1249066,1249066,31654,1,-11,0,0,0,206,11,0,1980-01-06T03:20:50,1633358292.69676,2021-10-04T17:38:12
315966064,333000,1263300,1263300,1263300,32017,1,-11,0,0,0,57,11,0,1980-01-06T03:21:04,1633358305.89656,2021-10-04T17:38:25
315966077,561000,1276514,1276514,1276514,32356,1,-11,0,0,0,140,11,0,1980-01-06T03:21:17,1633358319.0568008,2021-10-04T17:38:39
315966090,792000,1289732,1289732,1289732,32694,1,-11,0,0,0,222,11,0,1980-01-06T03:21:30,1633358332.896296,2021-10-04T17:38:52
315966106,56000,1304981,1304981,1304981,33075,1,-11,0,0,0,91,11,0,1980-01-06T03:21:46,1633358346.0762239,2021-10-04T17:39:06
315966119,288000,1318200,1318200,1318200,33410,1,-11,0,0,0,170,11,0,1980-01-06T03:21:59,1633358359.3061478,2021-10-04T17:39:19
315966133,534000,1332432,1332432,1332432,33775,1,-11,0,0,0,23,11,0,1980-01-06T03:22:13,1633358375.6767209,2021-10-04T17:39:35
315966147,784000,1346667,1346667,1346667,34139,1,-11,0,0,0,131,11,0,1980-01-06T03:22:27,1633358388.8464968,2021-10-04T17:39:48
315966161,9000,1359879,1359879,1359879,34471,1,-11,0,0,0,207,11,0,1980-01-06T03:22:41,1633358402.0364559,2021-10-04T17:40:02
315966175,259000,1374115,1374115,1374115,34830,1,-11,0,0,0,54,11,0,1980-01-06T03:22:55,1633358415.756917,2021-10-04T17:40:15
315966187,846000,1386689,1386689,1386689,35152,1,-11,0,0,0,120,11,0,1980-01-06T03:23:07,1633358431.096597,2021-10-04T17:40:31
315966202,442000,1401271,1401271,1401271,35523,1,-11,0,0,0,235,11,0,1980-01-06T03:23:22,1633358444.3260999,2021-10-04T17:40:44
315966215,821000,1414636,1414636,1414636,35865,1,-11,0,0,0,65,11,0,1980-01-06T03:23:35,1633358457.4958448,2021-10-04T17:40:57
315966230,415000,1429216,1429216,1429216,36237,1,-11,0,0,0,181,11,0,1980-01-06T03:23:50,1633358471.895913,2021-10-04T17:41:11
315966245,47000,1443833,1443833,1443833,36609,1,-11,0,0,0,41,11,0,1980-01-06T03:24:05,1633358485.1564329,2021-10-04T17:41:25
315966258,800000,1457573,1457573,1457573,36963,1,-11,0,0,0,139,11,0,1980-01-06T03:24:18,1633358501.1257439,2021-10-04T17:41:41
315966271,987000,1470746,1470746,1470746,37296,1,-11,0,0,0,216,11,0,1980-01-06T03:24:31,1633358514.3671489,2021-10-04T17:41:54
315966287,171000,1485915,1485915,1485915,37676,1,-11,0,0,0,84,11,0,1980-01-06T03:24:47,1633358527.7155879,2021-10-04T17:42:07
315966300,383000,1499114,1499114,1499114,38014,1,-11,0,0,0,166,11,0,1980-01-06T03:25:00,1633358540.926117,2021-10-04T17:42:20
315966314,622000,1513339,1513339,1513339,38379,1,-11,0,0,0,19,11,0,1980-01-06T03:25:14,1633358554.8458478,2021-10-04T17:42:34
315966328,862000,1527565,1527565,1527565,38743,1,-11,0,0,0,127,11,0,1980-01-06T03:25:28,1633358570.2870529,2021-10-04T17:42:50
315966341,37000,1539727,1539727,1539727,39046,1,-11,0,0,0,174,11,0,1980-01-06T03:25:41,1633358583.627413,2021-10-04T17:43:03
