time_s,time_us,time_steady,current,voltage,seq,srcSystem,srcComponent,time_gregorian
315965106,49604,306304,0.00457763671875,7.763999938964844,108,10,2,1980-01-06T03:05:06
315965107,501296,307756,nan,nan,118,10,2,1980-01-06T03:05:07
315965108,928663,309183,0.00640869140625,7.699999809265137,134,10,2,1980-01-06T03:05:08
315965110,358748,310613,0.00640869140625,7.691999912261963,144,10,2,1980-01-06T03:05:10
315965111,798683,312053,0.00457763671875,7.760000228881836,160,10,2,1980-01-06T03:05:11
315965113,310839,313565,nan,nan,170,10,2,1980-01-06T03:05:13
315965114,738738,314993,nan,nan,186,10,2,1980-01-06T03:05:14
315965116,300862,316555,nan,nan,196,10,2,1980-01-06T03:05:16
315965117,748555,318003,0.00457763671875,7.75600004196167,212,10,2,1980-01-06T03:05:17
315965119,191667,319446,0.00640869140625,7.688000202178955,222,10,2,1980-01-06T03:05:19
315965120,700823,320955,nan,nan,238,10,2,1980-01-06T03:05:20
315965122,138661,322393,0.0054931640625,7.703999996185303,248,10,2,1980-01-06T03:05:22
315965123,581305,323836,0.00457763671875,7.763999938964844,2,10,2,1980-01-06T03:05:23
315965125,92199,325346,0.00640869140625,7.703999996185303,18,10,2,1980-01-06T03:05:25
315965126,531296,326786,0.0054931640625,7.699999809265137,28,10,2,1980-01-06T03:05:26
315965128,21244,328275,0.00640869140625,7.699999809265137,44,10,2,1980-01-06T03:05:28
315965129,518547,329773,0.00457763671875,7.76800012588501,54,10,2,1980-01-06T03:05:29
315965130,959306,331214,0.00457763671875,7.76800012588501,70,10,2,1980-01-06T03:05:30
315965132,460914,332715,0.00640869140625,7.703999996185303,80,10,2,1980-01-06T03:05:32
315965133,888658,334143,0.00640869140625,7.699999809265137,96,10,2,1980-01-06T03:05:33
315965135,348684,335603,0.00457763671875,7.763999938964844,106,10,2,1980-01-06T03:05:35
315965136,818648,337073,nan,nan,122,10,2,1980-01-06T03:05:36
315965138,238661,338493,nan,nan,132,10,2,1980-01-06T03:05:38
315965139,709332,339964,nan,nan,148,10,2,1980-01-06T03:05:39
315965141,211288,341466,nan,nan,158,10,2,1980-01-06T03:05:41
315965142,658540,342913,0.00457763671875,7.688000202178955,168,10,2,1980-01-06T03:05:42
315965144,78693,344333,0.0054931640625,7.760000228881836,184,10,2,1980-01-06T03:05:44
315965145,538966,345793,0.00640869140625,7.699999809265137,194,10,2,1980-01-06T03:05:45
315965146,978677,347233,0.00732421875,7.748000144958496,210,10,2,1980-01-06T03:05:46
315965148,471293,348726,0.00457763671875,7.763999938964844,220,10,2,1980-01-06T03:05:48
315965149,901192,350155,0.00640869140625,7.699999809265137,236,10,2,1980-01-06T03:05:49
315965151,329378,351584,0.0054931640625,7.696000099182129,246,10,2,1980-01-06T03:05:51
315965152,821505,353076,0.0054931640625,7.699999809265137,6,10,2,1980-01-06T03:05:52
315965154,258535,354513,0.00457763671875,7.760000228881836,16,10,2,1980-01-06T03:05:54
315965155,689213,355943,0.00457763671875,7.763999938964844,26,10,2,1980-01-06T03:05:55
315965157,267346,357522,0.00640869140625,7.696000099182129,42,10,2,1980-01-06T03:05:57
