time_s,time_us,time_steady,gps_init_error,gps_config_error,lsm6ds3_error,lis3mdl_error,analog_sensor_init_error,gps_uart_init_error,mems_i2c_error,timers_error,rtc_error,mems_i2c_error_counter,lsm6ds3_error_counter,lis3mdl_error_counter,gps_reconfig_counter,osc_source,reset_counter,reset_cause,seq,srcSystem,srcComponent,time_gregorian
315964976,285000,176271,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,84,11,0,1980-01-06T03:02:56
315964977,497000,177483,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,116,11,0,1980-01-06T03:02:57
315964978,709000,178695,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,147,11,0,1980-01-06T03:02:58
315964979,922000,179908,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,177,11,0,1980-01-06T03:02:59
315964981,139000,181125,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,208,11,0,1980-01-06T03:03:01
315964982,352000,182338,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,239,11,0,1980-01-06T03:03:02
315964983,564000,183550,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,15,11,0,1980-01-06T03:03:03
315964984,777000,184763,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,46,11,0,1980-01-06T03:03:04
315964985,989000,185975,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,76,11,0,1980-01-06T03:03:05
315964987,205000,187191,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,107,11,0,1980-01-06T03:03:07
315964988,417000,188403,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,138,11,0,1980-01-06T03:03:08
315964989,629000,189615,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,170,11,0,1980-01-06T03:03:09
315964990,842000,190827,0,0,0,0,0,0,0,0,-88,0,0,0,0,0,1,2,201,11,0,1980-01-06T03:03:10
