time_s,time_us,time_steady,count_tick,delta_time,seq,srcSystem,srcComponent,time_gregorian
315965011,761600,212351,0,1200,214,13,0,1980-01-06T03:03:31
315965012,961700,213551,2,1200,226,13,0,1980-01-06T03:03:32
315965014,161700,214751,0,1200,237,13,0,1980-01-06T03:03:34
315965015,361600,215951,0,1200,250,13,0,1980-01-06T03:03:35
315965016,561600,217151,0,1200,5,13,0,1980-01-06T03:03:36
315965016,561600,217151,0,1200,16,13,0,1980-01-06T03:03:36
315965017,761600,218351,0,1200,30,13,0,1980-01-06T03:03:37
315965018,961600,219551,0,1200,41,13,0,1980-01-06T03:03:38
315965020,161600,220751,0,1200,52,13,0,1980-01-06T03:03:40
315965021,361600,221951,0,1200,65,13,0,1980-01-06T03:03:41
315965022,561600,223151,0,1200,76,13,0,1980-01-06T03:03:42
315965022,561600,223151,0,1200,88,13,0,1980-01-06T03:03:42
315965023,761600,224351,0,1200,101,13,0,1980-01-06T03:03:43
315965024,961600,225551,1,1200,112,13,0,1980-01-06T03:03:44
315965026,161600,226751,0,1200,123,13,0,1980-01-06T03:03:46
315965027,361600,227951,0,1200,136,13,0,1980-01-06T03:03:47
315965028,561700,229151,0,1200,148,13,0,1980-01-06T03:03:48
315965028,561700,229151,0,1200,159,13,0,1980-01-06T03:03:48
315965029,761700,230351,0,1200,172,13,0,1980-01-06T03:03:49
315965030,961600,231551,0,1200,183,13,0,1980-01-06T03:03:50
315965032,161600,232751,2,1200,194,13,0,1980-01-06T03:03:52
315965033,361600,233951,0,1200,208,13,0,1980-01-06T03:03:53
315965034,561600,235151,0,1200,219,13,0,1980-01-06T03:03:54
315965034,561600,235151,0,1200,230,13,0,1980-01-06T03:03:54
315965035,761600,236351,0,1200,243,13,0,1980-01-06T03:03:55
315965036,961600,237551,0,1200,254,13,0,1980-01-06T03:03:56
315965038,161600,238751,0,1200,10,13,0,1980-01-06T03:03:58
315965039,361600,239951,0,1200,23,13,0,1980-01-06T03:03:59
315965040,561600,241151,0,1200,34,13,0,1980-01-06T03:04:00
315965040,561600,241151,0,1200,45,13,0,1980-01-06T03:04:00
315965041,761700,242351,0,1200,58,13,0,1980-01-06T03:04:01
315965042,961700,243551,0,1200,70,13,0,1980-01-06T03:04:02
315965044,161700,244751,0,1200,81,13,0,1980-01-06T03:04:04
315965045,361600,245951,0,1200,94,13,0,1980-01-06T03:04:05
315965046,561600,247151,0,1200,105,13,0,1980-01-06T03:04:06
315965046,561600,247151,0,1200,116,13,0,1980-01-06T03:04:06
315965047,761600,248351,0,1200,130,13,0,1980-01-06T03:04:07
315965048,961600,249551,2,1200,141,13,0,1980-01-06T03:04:08
315965050,161600,250751,0,1200,152,13,0,1980-01-06T03:04:10
315965051,361600,251951,0,1200,165,13,0,1980-01-06T03:04:11
315965052,561600,253151,0,1200,176,13,0,1980-01-06T03:04:12
315965052,561600,253151,0,1200,188,13,0,1980-01-06T03:04:12
315965053,761600,254351,1,1200,201,13,0,1980-01-06T03:04:13
315965054,961600,255551,0,1200,212,13,0,1980-01-06T03:04:14
315965056,161700,256751,0,1200,223,13,0,1980-01-06T03:04:16
