time_s,time_us,time_steady,state,pump_on,pump_on_time_steady,pump_off,pump_off_time_steady,valve_open,valve_open_time_steady,valve_close,valve_close_time_steady,seq,srcSystem,srcComponent,time_gregorian
315967355,96100,2553577,1,214,2553551,149,2403951,18,2486551,34,2496751,38,13,0,1980-01-06T03:42:35
315967356,96100,2554577,1,219,2554551,149,2403951,18,2486551,34,2496751,48,13,0,1980-01-06T03:42:36
315967357,96200,2555577,1,224,2555551,149,2403951,18,2486551,34,2496751,59,13,0,1980-01-06T03:42:37
315967358,96100,2556577,1,229,2556551,149,2403951,18,2486551,34,2496751,70,13,0,1980-01-06T03:42:38
315967359,96100,2557577,0,230,2556751,150,2556951,18,2486551,35,2556951,80,13,0,1980-01-06T03:42:39
315967360,96200,2558577,0,230,2556751,150,2556951,18,2486551,35,2556951,92,13,0,1980-01-06T03:42:40
315967361,96100,2559577,0,230,2556751,150,2556951,18,2486551,35,2556951,103,13,0,1980-01-06T03:42:41
315967362,96100,2560577,0,230,2556751,150,2556951,18,2486551,35,2556951,113,13,0,1980-01-06T03:42:42
315967363,96200,2561577,0,230,2556751,150,2556951,18,2486551,35,2556951,124,13,0,1980-01-06T03:42:43
315967364,96100,2562577,0,230,2556751,150,2556951,18,2486551,35,2556951,135,13,0,1980-01-06T03:42:44
315967365,96100,2563577,0,230,2556751,150,2556951,18,2486551,35,2556951,146,13,0,1980-01-06T03:42:45
315967366,96200,2564577,0,230,2556751,150,2556951,18,2486551,35,2556951,157,13,0,1980-01-06T03:42:46
315967367,96100,2565577,0,230,2556751,150,2556951,18,2486551,35,2556951,168,13,0,1980-01-06T03:42:47
315967368,96100,2566577,0,230,2556751,150,2556951,18,2486551,35,2556951,178,13,0,1980-01-06T03:42:48
315967369,96200,2567577,0,230,2556751,150,2556951,18,2486551,35,2556951,189,13,0,1980-01-06T03:42:49
315967370,96100,2568577,0,230,2556751,150,2556951,18,2486551,35,2556951,201,13,0,1980-01-06T03:42:50
315967371,96100,2569577,0,230,2556751,150,2556951,18,2486551,35,2556951,211,13,0,1980-01-06T03:42:51
315967372,96200,2570577,0,230,2556751,150,2556951,18,2486551,35,2556951,222,13,0,1980-01-06T03:42:52
315967373,96100,2571577,0,230,2556751,150,2556951,18,2486551,35,2556951,233,13,0,1980-01-06T03:42:53
315967374,96100,2572577,0,230,2556751,150,2556951,18,2486551,35,2556951,243,13,0,1980-01-06T03:42:54
315967375,96200,2573577,0,230,2556751,150,2556951,18,2486551,35,2556951,255,13,0,1980-01-06T03:42:55
315967376,96100,2574577,0,230,2556751,150,2556951,18,2486551,35,2556951,10,13,0,1980-01-06T03:42:56
315967377,96100,2575577,0,230,2556751,150,2556951,18,2486551,35,2556951,20,13,0,1980-01-06T03:42:57
315967378,96200,2576577,0,230,2556751,150,2556951,18,2486551,35,2556951,31,13,0,1980-01-06T03:42:58
315967379,96100,2577577,0,230,2556751,150,2556951,18,2486551,35,2556951,42,13,0,1980-01-06T03:42:59
315967380,96100,2578577,0,230,2556751,150,2556951,18,2486551,35,2556951,53,13,0,1980-01-06T03:43:00
315967381,96200,2579577,0,230,2556751,150,2556951,18,2486551,35,2556951,64,13,0,1980-01-06T03:43:01
315967382,96100,2580577,0,230,2556751,150,2556951,18,2486551,35,2556951,75,13,0,1980-01-06T03:43:02
315967383,96100,2581577,0,230,2556751,150,2556951,18,2486551,35,2556951,85,13,0,1980-01-06T03:43:03
315967384,96200,2582577,0,230,2556751,150,2556951,18,2486551,35,2556951,96,13,0,1980-01-06T03:43:04
315967385,96100,2583577,0,230,2556751,150,2556951,18,2486551,35,2556951,108,13,0,1980-01-06T03:43:05
315967386,96100,2584577,0,230,2556751,150,2556951,18,2486551,35,2556951,118,13,0,1980-01-06T03:43:06
315967387,96200,2585577,0,230,2556751,150,2556951,18,2486551,35,2556951,129,13,0,1980-01-06T03:43:07
315967388,96100,2586577,0,230,2556751,150,2556951,18,2486551,35,2556951,140,13,0,1980-01-06T03:43:08
315967389,96100,2587577,0,230,2556751,150,2556951,18,2486551,35,2556951,150,13,0,1980-01-06T03:43:09
315967390,96200,2588577,0,230,2556751,150,2556951,18,2486551,35,2556951,162,13,0,1980-01-06T03:43:10
315967391,96100,2589577,0,230,2556751,150,2556951,18,2486551,35,2556951,173,13,0,1980-01-06T03:43:11
315967392,96100,2590577,0,230,2556751,150,2556951,18,2486551,35,2556951,183,13,0,1980-01-06T03:43:12
315967393,96200,2591577,0,230,2556751,150,2556951,18,2486551,35,2556951,194,13,0,1980-01-06T03:43:13
315967394,96100,2592577,0,230,2556751,150,2556951,18,2486551,35,2556951,205,13,0,1980-01-06T03:43:14
315967395,96100,2593577,0,230,2556751,150,2556951,18,2486551,35,2556951,216,13,0,1980-01-06T03:43:15
315967396,96200,2594577,0,230,2556751,150,2556951,18,2486551,35,2556951,227,13,0,1980-01-06T03:43:16
315967397,96100,2595577,0,230,2556751,150,2556951,18,2486551,35,2556951,238,13,0,1980-01-06T03:43:17
315967398,96100,2596577,0,230,2556751,150,2556951,18,2486551,35,2556951,248,13,0,1980-01-06T03:43:18
