time_s,time_us,time_steady,deg,vdda,vbat,seq,srcSystem,srcComponent,time_gregorian
315968550,905100,3747989,-14.31226634979248,3.311000108718872,3.273406505584717,214,13,0,1980-01-06T04:02:30
315968551,905100,3748989,-14.31226634979248,3.311000108718872,3.273406505584717,225,13,0,1980-01-06T04:02:31
315968552,905100,3749989,-14.31226634979248,3.311000108718872,3.279853582382202,237,13,0,1980-01-06T04:02:32
315968553,905100,3750989,-14.31226634979248,3.311000108718872,3.279853582382202,247,13,0,1980-01-06T04:02:33
315968554,905100,3751989,-14.31226634979248,3.311000108718872,3.2814650535583496,1,13,0,1980-01-06T04:02:34
315968555,905100,3752989,-14.31226634979248,3.311000108718872,3.287912130355835,13,13,0,1980-01-06T04:02:35
315968556,905100,3753989,-14.31226634979248,3.311000108718872,3.287912130355835,24,13,0,1980-01-06T04:02:36
315968557,905100,3754989,-14.31226634979248,3.311000108718872,3.287912130355835,34,13,0,1980-01-06T04:02:37
315968558,905100,3755989,-14.31226634979248,3.311000108718872,3.2959706783294678,46,13,0,1980-01-06T04:02:38
315968559,905100,3756989,-14.31226634979248,3.311000108718872,3.287912130355835,56,13,0,1980-01-06T04:02:39
315968560,905100,3757989,-14.31226634979248,3.311000108718872,3.2959706783294678,66,13,0,1980-01-06T04:02:40
315968561,905100,3758989,-14.31226634979248,3.311000108718872,3.294358730316162,79,13,0,1980-01-06T04:02:41
315968562,905100,3759989,-14.31226634979248,3.311000108718872,3.2863001823425293,89,13,0,1980-01-06T04:02:42
315968563,905100,3760989,-14.31226634979248,3.311000108718872,3.287912130355835,99,13,0,1980-01-06T04:02:43
315968564,905100,3761989,-14.31226634979248,3.311000108718872,3.287912130355835,111,13,0,1980-01-06T04:02:44
315968565,905100,3762989,-14.31226634979248,3.311000108718872,3.294358730316162,121,13,0,1980-01-06T04:02:45
315968566,905100,3763989,-14.31226634979248,3.311000108718872,3.294358730316162,132,13,0,1980-01-06T04:02:46
315968567,905100,3764989,-14.31226634979248,3.311000108718872,3.287912130355835,144,13,0,1980-01-06T04:02:47
315968568,905100,3765989,-14.31226634979248,3.311000108718872,3.279853582382202,154,13,0,1980-01-06T04:02:48
315968569,905100,3766989,-14.609663963317871,3.311000108718872,3.273406505584717,164,13,0,1980-01-06T04:02:49
315968570,905100,3767989,-14.31226634979248,3.311000108718872,3.273406505584717,176,13,0,1980-01-06T04:02:50
315968571,905100,3768989,-14.609663963317871,3.311000108718872,3.2717947959899902,187,13,0,1980-01-06T04:02:51
315968572,905100,3769989,-14.609663963317871,3.311000108718872,3.279853582382202,197,13,0,1980-01-06T04:02:52
315968573,905100,3770989,-14.609663963317871,3.311000108718872,3.279853582382202,209,13,0,1980-01-06T04:02:53
315968574,905100,3771989,-14.609663963317871,3.311000108718872,3.273406505584717,219,13,0,1980-01-06T04:02:54
315968575,905100,3772989,-14.609663963317871,3.311000108718872,3.2717947959899902,229,13,0,1980-01-06T04:02:55
315968576,905100,3773989,-14.609663963317871,3.311000108718872,3.2717947959899902,242,13,0,1980-01-06T04:02:56
315968577,905100,3774989,-14.609663963317871,3.311000108718872,3.279853582382202,252,13,0,1980-01-06T04:02:57
315968578,905100,3775989,-14.609663963317871,3.311000108718872,3.294358730316162,6,13,0,1980-01-06T04:02:58
315968579,905100,3776989,-14.609663963317871,3.311000108718872,3.294358730316162,18,13,0,1980-01-06T04:02:59
315968580,905100,3777989,-14.609663963317871,3.311000108718872,3.294358730316162,28,13,0,1980-01-06T04:03:00
315968581,905100,3778989,-14.609663963317871,3.311000108718872,3.287912130355835,39,13,0,1980-01-06T04:03:01
315968582,905100,3779989,-14.609663963317871,3.311000108718872,3.287912130355835,51,13,0,1980-01-06T04:03:02
