time_s,time_us,time_steady,temperature,pressure,humidity,altitude,seq,srcSystem,srcComponent,time_gregorian
315968146,538600,3344152,-35.78344798921862,30000.0,14.658645501101288,9177.1826171875,177,13,1,1980-01-06T03:55:46
315968147,538600,3345152,-36.738756052119946,30000.0,14.705230096560289,9177.1826171875,189,13,1,1980-01-06T03:55:47
315968148,538600,3346152,-36.91567556302523,30000.0,14.707656994961834,9177.1826171875,199,13,1,1980-01-06T03:55:48
315968149,538600,3347152,-36.725439515469205,30000.0,14.699460015182584,9177.1826171875,209,13,1,1980-01-06T03:55:49
315968150,538600,3348152,-35.73176657504898,30000.0,14.661603052611083,9177.1826171875,221,13,1,1980-01-06T03:55:50
315968151,538600,3349152,-35.75935113729065,30000.0,14.65759121417836,9177.1826171875,232,13,1,1980-01-06T03:55:51
315968152,538600,3350152,-36.84021531313535,30000.0,14.699205968572699,9177.1826171875,242,13,1,1980-01-06T03:55:52
315968153,538600,3351152,-36.759682034233606,30000.0,14.690539824815476,9177.1826171875,254,13,1,1980-01-06T03:55:53
315968154,538600,3352152,-36.96767334480135,30000.0,14.70469872324059,9177.1826171875,8,13,1,1980-01-06T03:55:54
315968155,538600,3353152,-35.80976428053307,30000.0,14.649364691368271,9177.1826171875,18,13,1,1980-01-06T03:55:55
315968156,538600,3354152,-35.77520433008749,30000.0,14.647867658080118,9177.1826171875,31,13,1,1980-01-06T03:55:56
315968157,538600,3355152,-35.74349794165164,30000.0,14.646480756108037,9177.1826171875,41,13,1,1980-01-06T03:55:57
315968158,538600,3356152,-35.74952215632927,30000.0,14.646744555695275,9177.1826171875,51,13,1,1980-01-06T03:55:58
315968159,538600,3357152,-35.76632654247142,30000.0,14.647476305774942,9177.1826171875,63,13,1,1980-01-06T03:55:59
315968160,538600,3358152,-36.156314229484636,30000.0,14.659229491598367,9177.1826171875,73,13,1,1980-01-06T03:56:00
315968161,538600,3359152,-36.816118749185236,30000.0,14.682581718228437,9177.1826171875,84,13,1,1980-01-06T03:56:01
315968162,538600,3360152,-36.74002429360114,30000.0,14.684491386393926,9177.1826171875,96,13,1,1980-01-06T03:56:02
315968163,538600,3361152,-35.73240070301324,30000.0,14.640784683693694,9177.1826171875,106,13,1,1980-01-06T03:56:03
315968164,538600,3362152,-35.719401078837016,30000.0,14.645433914875595,9177.1826171875,116,13,1,1980-01-06T03:56:04
315968165,538600,3363152,-35.69815778643586,30000.0,14.639294578028737,9177.1826171875,128,13,1,1980-01-06T03:56:05
315968166,538600,3364152,-35.69879191464113,30000.0,14.634108682341514,9177.1826171875,139,13,1,1980-01-06T03:56:06
315968167,538600,3365152,-36.67788043963135,30000.0,14.681809709123726,9177.1826171875,149,13,1,1980-01-06T03:56:07
315968168,538600,3366152,-36.5716650779038,30000.0,14.672018799904922,9177.1826171875,161,13,1,1980-01-06T03:56:08
315968169,538600,3367152,-35.666134306156074,30000.0,14.637897688409653,9177.1826171875,171,13,1,1980-01-06T03:56:09
315968170,538600,3368152,-36.03931810397732,30000.0,14.648941147213195,9177.1826171875,181,13,1,1980-01-06T03:56:10
315968171,538600,3369152,-35.65820770033586,30000.0,14.632344925191916,9177.1826171875,194,13,1,1980-01-06T03:56:11
315968172,538600,3370152,-35.649329900973655,30000.0,14.637164999972558,9177.1826171875,204,13,1,1980-01-06T03:56:12
315968173,538600,3371152,-35.65345173650267,30000.0,14.632131864333331,9177.1826171875,214,13,1,1980-01-06T03:56:13
315968174,538600,3372152,-36.37508705694263,30000.0,14.663513049972345,9177.1826171875,226,13,1,1980-01-06T03:56:14
315968175,538600,3373152,-36.61859008926467,30000.0,14.668855060388807,9177.1826171875,236,13,1,1980-01-06T03:56:15
315968176,538600,3374152,-36.53425187532812,30000.0,14.660004890730228,9177.1826171875,247,13,1,1980-01-06T03:56:16
315968177,538600,3375152,-35.67691448893129,30000.0,14.633154464645042,9177.1826171875,3,13,1,1980-01-06T03:56:17
