time_s,time_us,time_steady,update_time_operator,update_time_radio,last_packet_time,last_packet_rssi,last_packet_snr,last_packet_signal_rssi,last_executed_cmd_seq,radio_error_bits,radio_state,count_packet_recieved,count_crc_errors,count_hdr_errors,count_mavlink_msgs_recieved,count_operator_cmds_recieved,count_operator_cmds_executed,count_operator_errors,seq,srcSystem,srcComponent,time_gregorian
315964906,776361,109003,109003,108993,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,71,10,0,1980-01-06T03:01:46
315964907,776330,110003,110003,109993,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,74,10,0,1980-01-06T03:01:47
315964908,776330,111003,111003,110993,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,77,10,0,1980-01-06T03:01:48
315964909,775933,112003,112003,112003,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,80,10,0,1980-01-06T03:01:49
315964910,776341,113003,113003,112963,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,83,10,0,1980-01-06T03:01:50
315964911,776330,114003,114003,113993,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,86,10,0,1980-01-06T03:01:51
315964912,785792,115013,115003,115013,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,89,10,0,1980-01-06T03:01:52
315964913,776321,116003,116003,115933,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,92,10,0,1980-01-06T03:01:53
315964914,776330,117003,117003,116984,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,95,10,0,1980-01-06T03:01:54
315964915,786075,118013,118003,118013,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,98,10,0,1980-01-06T03:01:55
315964916,786477,119013,119003,119013,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,101,10,0,1980-01-06T03:01:56
315964917,785793,120013,120003,120013,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,104,10,0,1980-01-06T03:01:57
315964918,776325,121003,121003,120933,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,107,10,0,1980-01-06T03:01:58
315964919,776060,122003,122003,121973,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,110,10,0,1980-01-06T03:01:59
315964920,776477,123003,122993,123003,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,113,10,0,1980-01-06T03:02:00
315964921,785788,124013,124003,124013,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,116,10,0,1980-01-06T03:02:01
315964922,776345,125003,125003,124983,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,119,10,0,1980-01-06T03:02:02
315964923,775934,126003,126003,125993,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,122,10,0,1980-01-06T03:02:03
315964924,786529,127014,127003,127013,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,125,10,0,1980-01-06T03:02:04
315964925,785817,128013,128003,128013,0,-21,-12,-21,0,0,4,0,0,0,0,0,0,0,128,10,0,1980-01-06T03:02:05
315964926,785974,129013,129003,129013,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,131,10,0,1980-01-06T03:02:06
315964927,775965,130003,129993,130003,0,-21,-12,-21,0,0,5,0,0,0,0,0,0,0,134,10,0,1980-01-06T03:02:07
