time_s,time_us,cookie,rssi_pkt,snr_pkt,rssi_signal,time_gregorian,log_timestamp,log_timestamp_gregorian
1633357337,214015,738,-62,12,-62,2021-10-04T17:22:17,1633357337.217603,2021-10-04T17:22:17
1633357337,804937,739,-60,11,-60,2021-10-04T17:22:17,1633357337.810184,2021-10-04T17:22:17
1633357338,383832,740,-58,12,-59,2021-10-04T17:22:18,1633357338.387228,2021-10-04T17:22:18
1633357339,3856,741,-59,12,-60,2021-10-04T17:22:19,1633357339.007474,2021-10-04T17:22:19
1633357339,603995,742,-57,12,-58,2021-10-04T17:22:19,1633357339.60741,2021-10-04T17:22:19
1633357340,183865,743,-58,12,-59,2021-10-04T17:22:20,1633357340.187242,2021-10-04T17:22:20
1633357342,804097,744,-58,12,-59,2021-10-04T17:22:22,1633357342.807305,2021-10-04T17:22:22
1633357343,394119,745,-60,13,-60,2021-10-04T17:22:23,1633357343.397962,2021-10-04T17:22:23
1633357344,4415,746,-59,12,-60,2021-10-04T17:22:24,1633357344.007924,2021-10-04T17:22:24
1633357344,584147,747,-60,13,-60,2021-10-04T17:22:24,1633357344.58785,2021-10-04T17:22:24
1633357345,193876,748,-61,13,-61,2021-10-04T17:22:25,1633357345.197393,2021-10-04T17:22:25
1633357345,784139,749,-63,11,-64,2021-10-04T17:22:25,1633357345.787003,2021-10-04T17:22:25
1633357346,365651,750,-62,11,-63,2021-10-04T17:22:26,1633357346.36891,2021-10-04T17:22:26
1633357349,4367,751,-57,13,-57,2021-10-04T17:22:29,1633357349.00756,2021-10-04T17:22:29
1633357349,613940,752,-57,12,-58,2021-10-04T17:22:29,1633357349.618065,2021-10-04T17:22:29
1633357350,204243,753,-59,12,-59,2021-10-04T17:22:30,1633357350.207163,2021-10-04T17:22:30
1633357350,794255,754,-58,12,-59,2021-10-04T17:22:30,1633357350.797362,2021-10-04T17:22:30
1633357351,414162,755,-58,12,-58,2021-10-04T17:22:31,1633357351.417211,2021-10-04T17:22:31
1633357352,24189,756,-57,13,-58,2021-10-04T17:22:32,1633357352.027251,2021-10-04T17:22:32
1633357352,604387,757,-57,14,-57,2021-10-04T17:22:32,1633357352.608508,2021-10-04T17:22:32
1633357355,244331,758,-59,12,-60,2021-10-04T17:22:35,1633357355.247241,2021-10-04T17:22:35
1633357355,824015,759,-60,11,-60,2021-10-04T17:22:35,1633357355.827049,2021-10-04T17:22:35
1633357356,404213,760,-60,12,-60,2021-10-04T17:22:36,1633357356.407396,2021-10-04T17:22:36
1633357357,3998,761,-60,13,-61,2021-10-04T17:22:37,1633357357.007263,2021-10-04T17:22:37
1633357357,584049,762,-59,12,-60,2021-10-04T17:22:37,1633357357.587589,2021-10-04T17:22:37
1633357358,164298,763,-59,12,-60,2021-10-04T17:22:38,1633357358.167656,2021-10-04T17:22:38
1633357358,753984,764,-58,12,-59,2021-10-04T17:22:38,1633357358.757471,2021-10-04T17:22:38
