time_s,time_us,checksum_valid,cookie,frame_no,rssi_pkt,snr_pkt,rssi_signal,time_gregorian,log_timestamp,log_timestamp_gregorian
1633357321,613691,True,722,314,-62,11,-63,2021-10-04T17:22:01,1633357321.615403,2021-10-04T17:22:01
1633357324,244409,True,723,315,-58,12,-59,2021-10-04T17:22:04,1633357324.246154,2021-10-04T17:22:04
1633357324,833721,True,724,316,-61,11,-62,2021-10-04T17:22:04,1633357324.835294,2021-10-04T17:22:04
1633357325,424400,True,725,317,-60,13,-61,2021-10-04T17:22:05,1633357325.426088,2021-10-04T17:22:05
1633357326,3699,True,726,318,-59,12,-60,2021-10-04T17:22:06,1633357326.005686,2021-10-04T17:22:06
1633357326,583757,True,727,319,-59,12,-59,2021-10-04T17:22:06,1633357326.585774,2021-10-04T17:22:06
1633357327,175283,True,728,320,-61,12,-61,2021-10-04T17:22:07,1633357327.177036,2021-10-04T17:22:07
1633357327,763920,True,729,321,-61,13,-61,2021-10-04T17:22:07,1633357327.765614,2021-10-04T17:22:07
1633357330,413764,True,730,322,-60,12,-61,2021-10-04T17:22:10,1633357330.415524,2021-10-04T17:22:10
1633357331,33879,True,731,323,-61,12,-62,2021-10-04T17:22:11,1633357331.035531,2021-10-04T17:22:11
1633357331,624120,True,732,324,-62,12,-62,2021-10-04T17:22:11,1633357331.626142,2021-10-04T17:22:11
1633357332,213707,True,733,325,-62,12,-62,2021-10-04T17:22:12,1633357332.215253,2021-10-04T17:22:12
1633357332,794200,True,734,326,-62,11,-63,2021-10-04T17:22:12,1633357332.795975,2021-10-04T17:22:12
1633357333,383767,True,735,327,-61,12,-61,2021-10-04T17:22:13,1633357333.385718,2021-10-04T17:22:13
1633357333,974627,True,736,328,-60,12,-61,2021-10-04T17:22:13,1633357333.976959,2021-10-04T17:22:13
1633357336,623739,True,737,329,-62,12,-62,2021-10-04T17:22:16,1633357336.625529,2021-10-04T17:22:16
1633357337,213926,True,738,330,-62,12,-62,2021-10-04T17:22:17,1633357337.216116,2021-10-04T17:22:17
1633357337,804599,True,739,331,-60,11,-60,2021-10-04T17:22:17,1633357337.806744,2021-10-04T17:22:17
1633357338,383750,True,740,332,-58,12,-59,2021-10-04T17:22:18,1633357338.38543,2021-10-04T17:22:18
1633357339,3774,True,741,333,-59,12,-60,2021-10-04T17:22:19,1633357339.005495,2021-10-04T17:22:19
1633357339,603921,True,742,334,-57,12,-58,2021-10-04T17:22:19,1633357339.605645,2021-10-04T17:22:19
1633357340,183788,True,743,335,-58,12,-59,2021-10-04T17:22:20,1633357340.185441,2021-10-04T17:22:20
1633357342,803764,True,744,336,-58,12,-59,2021-10-04T17:22:22,1633357342.805412,2021-10-04T17:22:22
1633357343,393819,True,745,337,-60,13,-60,2021-10-04T17:22:23,1633357343.395657,2021-10-04T17:22:23
1633357344,4088,True,746,338,-59,12,-60,2021-10-04T17:22:24,1633357344.006443,2021-10-04T17:22:24
1633357344,583805,True,747,339,-60,13,-60,2021-10-04T17:22:24,1633357344.585959,2021-10-04T17:22:24
1633357345,193794,True,748,340,-61,13,-61,2021-10-04T17:22:25,1633357345.195394,2021-10-04T17:22:25
1633357345,783834,True,749,341,-63,11,-64,2021-10-04T17:22:25,1633357345.785497,2021-10-04T17:22:25
1633357346,365280,True,750,342,-62,11,-63,2021-10-04T17:22:26,1633357346.367243,2021-10-04T17:22:26
1633357349,4044,True,751,343,-57,13,-57,2021-10-04T17:22:29,1633357349.006094,2021-10-04T17:22:29
1633357349,613857,True,752,344,-57,12,-58,2021-10-04T17:22:29,1633357349.615943,2021-10-04T17:22:29
1633357350,203968,True,753,345,-59,12,-59,2021-10-04T17:22:30,1633357350.205678,2021-10-04T17:22:30
1633357350,793948,True,754,346,-58,12,-59,2021-10-04T17:22:30,1633357350.795907,2021-10-04T17:22:30
1633357351,413837,True,755,347,-58,12,-58,2021-10-04T17:22:31,1633357351.415817,2021-10-04T17:22:31
1633357352,23866,True,756,348,-57,13,-58,2021-10-04T17:22:32,1633357352.025571,2021-10-04T17:22:32
1633357352,604068,True,757,349,-57,14,-57,2021-10-04T17:22:32,1633357352.606408,2021-10-04T17:22:32
1633357355,244007,True,758,350,-59,12,-60,2021-10-04T17:22:35,1633357355.245707,2021-10-04T17:22:35
1633357355,823934,True,759,351,-60,11,-60,2021-10-04T17:22:35,1633357355.825618,2021-10-04T17:22:35
1633357356,403882,True,760,352,-60,12,-60,2021-10-04T17:22:36,1633357356.405603,2021-10-04T17:22:36
1633357357,3921,True,761,353,-60,13,-61,2021-10-04T17:22:37,1633357357.005608,2021-10-04T17:22:37
1633357357,583965,True,762,354,-59,12,-60,2021-10-04T17:22:37,1633357357.585623,2021-10-04T17:22:37
1633357358,163921,True,763,355,-59,12,-60,2021-10-04T17:22:38,1633357358.165872,2021-10-04T17:22:38
1633357358,753901,True,764,356,-58,12,-59,2021-10-04T17:22:38,1633357358.755527,2021-10-04T17:22:38
