time_s,time_us,time_steady,dna_temp,heater_is_on,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315966025,635100,1225395,15.63372802734375,1,195,13,0,1980-01-06T03:20:25,1633358267.9169638,2021-10-04T17:37:47
315966042,635100,1242395,15.115478515625,0,141,13,0,1980-01-06T03:20:42,1633358283.626492,2021-10-04T17:38:03
315966056,635100,1256395,19.32080078125,0,50,13,0,1980-01-06T03:20:56,1633358298.986548,2021-10-04T17:38:18
315966070,635100,1270395,17.05462646484375,1,217,13,0,1980-01-06T03:21:10,1633358312.778957,2021-10-04T17:38:32
315966084,635100,1284395,17.09954833984375,0,128,13,0,1980-01-06T03:21:24,1633358325.9978719,2021-10-04T17:38:45
315966098,635100,1298395,19.57379150390625,0,37,13,0,1980-01-06T03:21:38,1633358339.776525,2021-10-04T17:38:59
315966112,635100,1312395,15.9595947265625,1,203,13,0,1980-01-06T03:21:52,1633358352.976125,2021-10-04T17:39:12
315966125,635100,1325395,18.248382568359375,0,101,13,0,1980-01-06T03:22:05,1633358368.2283158,2021-10-04T17:39:28
315966140,635100,1340395,19.699676513671875,1,23,13,0,1980-01-06T03:22:20,1633358381.9759889,2021-10-04T17:39:41
315966154,635100,1354395,15.304840087890625,1,190,13,0,1980-01-06T03:22:34,1633358395.7161279,2021-10-04T17:39:55
315966167,635100,1367395,18.11761474609375,0,87,13,0,1980-01-06T03:22:47,1633358408.8961,2021-10-04T17:40:08
315966181,635100,1381395,19.615814208984375,0,254,13,0,1980-01-06T03:23:01,1633358424.786676,2021-10-04T17:40:24
315966195,635100,1395395,15.399139404296875,1,165,13,0,1980-01-06T03:23:15,1633358437.9665399,2021-10-04T17:40:37
315966209,885200,1409395,18.637939453125,0,74,13,0,1980-01-06T03:23:29,1633358451.246372,2021-10-04T17:40:51
315966223,885200,1423395,18.422027587890625,1,241,13,0,1980-01-06T03:23:43,1633358464.9966009,2021-10-04T17:41:04
315966237,885200,1437395,15.727142333984375,1,151,13,0,1980-01-06T03:23:57,1633358478.8357918,2021-10-04T17:41:18
315966251,885200,1451395,19.741546630859375,0,60,13,0,1980-01-06T03:24:11,1633358494.266309,2021-10-04T17:41:34
315966265,885200,1465395,18.073944091796875,1,227,13,0,1980-01-06T03:24:25,1633358507.4557679,2021-10-04T17:41:47
315966279,885200,1479395,14.7816162109375,1,136,13,0,1980-01-06T03:24:39,1633358521.296296,2021-10-04T17:42:01
315966293,885200,1493395,17.09954833984375,0,36,13,0,1980-01-06T03:24:53,1633358534.628288,2021-10-04T17:42:14
315966306,885200,1506395,18.938201904296875,1,178,13,0,1980-01-06T03:25:06,1633358547.895717,2021-10-04T17:42:27
315966321,885200,1521395,15.352020263671875,1,85,13,0,1980-01-06T03:25:21,1633358563.946612,2021-10-04T17:42:43
315966335,885200,1535395,19.531768798828125,0,236,13,0,1980-01-06T03:25:35,1633358577.256217,2021-10-04T17:42:57
315966347,885200,1547395,16.328338623046875,1,110,13,0,1980-01-06T03:25:47,1633358589.9658089,2021-10-04T17:43:09
315966361,885200,1561395,17.722564697265625,0,7,13,0,1980-01-06T03:26:01,1633358603.0959558,2021-10-04T17:43:23
315966374,885200,1574395,17.45684814453125,1,148,13,0,1980-01-06T03:26:14,1633358616.306361,2021-10-04T17:43:36
315966387,885200,1587395,16.0521240234375,0,34,13,0,1980-01-06T03:26:27,1633358629.5459769,2021-10-04T17:43:49
315966402,144400,1601395,21.58148193359375,0,185,13,0,1980-01-06T03:26:42,1633358642.7663329,2021-10-04T17:44:02
