time_s,time_us,time_steady,rx_packet_start_cnt,rx_packet_done_cnt,rx_cmds_start_cnt,rx_cmds_done_cnt,rx_drops_start_cnt,rx_drops_done_cnt,tx_psize_start_cnt,tx_psize_done_cnt,tx_packet_start_cnt,tx_packet_done_cnt,tx_zeroes_start_cnt,tx_zeroes_done_cnt,tx_empty_buffer_cnt,tx_overruns_cnt,cmds_get_size_cnt,cmds_get_packet_cnt,cmds_set_packet_cnt,cmds_invalid_cnt,restarts_cnt,berr_cnt,arlo_cnt,ovf_cnt,af_cnt,btf_cnt,tx_wrong_size_cnt,rx_wrong_size_cnt,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965755,793000,956982,860,860,27015,27015,0,0,9391,9391,9391,9391,0,0,7373,3285,16764,9391,860,0,0,0,0,0,7373,0,0,0,203,12,0,1980-01-06T03:15:55,1633357998.1373599,2021-10-04T17:33:18
315965769,991000,971071,872,872,27413,27413,0,0,9529,9529,9529,9529,0,0,7483,3365,17012,9529,872,0,0,0,0,0,7483,0,0,0,153,12,0,1980-01-06T03:16:09,1633358011.828292,2021-10-04T17:33:31
315965780,916000,982083,882,882,27706,27706,0,0,9628,9628,9628,9628,0,0,7568,3466,17196,9628,882,0,0,0,0,0,7568,0,0,0,86,12,0,1980-01-06T03:16:20,1633358024.778473,2021-10-04T17:33:44
315965792,814000,994101,893,893,28015,28015,0,0,9730,9730,9730,9729,0,0,7662,3552,17392,9730,893,0,0,0,0,0,7662,0,0,0,6,12,0,1980-01-06T03:16:32,1633358040.476981,2021-10-04T17:34:00
315965809,860000,1011123,908,908,28464,28464,0,0,9880,9880,9880,9880,0,0,7796,3659,17676,9880,908,0,0,0,0,0,7796,0,0,0,244,12,0,1980-01-06T03:16:49,1633358053.6171079,2021-10-04T17:34:13
315965824,942000,1026141,922,922,28868,28868,0,0,10017,10017,10017,10017,0,0,7912,3797,17929,10017,922,0,0,0,0,0,7912,0,0,0,248,12,0,1980-01-06T03:17:04,1633358067.3289769,2021-10-04T17:34:27
315965839,60000,1040159,935,935,29251,29251,0,0,10147,10147,10147,10147,0,0,8022,3893,18169,10147,935,0,0,0,0,0,8022,0,0,0,204,12,0,1980-01-06T03:17:19,1633358080.4571369,2021-10-04T17:34:40
315965851,927000,1053181,946,946,29605,29605,0,0,10268,10268,10268,10268,0,0,8123,3992,18391,10268,946,0,0,0,0,0,8123,0,0,0,155,12,0,1980-01-06T03:17:31,1633358093.5167959,2021-10-04T17:34:53
315965865,879000,1067206,959,959,30006,30006,0,0,10408,10408,10408,10408,0,0,8231,4054,18639,10408,959,0,0,0,0,0,8231,0,0,0,87,12,0,1980-01-06T03:17:45,1633358109.289784,2021-10-04T17:35:09
315965879,987000,1081223,972,972,30408,30408,0,0,10548,10548,10548,10548,0,0,8340,4122,18888,10548,972,0,0,0,0,0,8340,0,0,0,25,12,0,1980-01-06T03:17:59,1633358124.25682,2021-10-04T17:35:24
315965895,64000,1096240,985,985,30839,30839,0,0,10699,10699,10699,10699,0,0,8456,4185,19155,10699,985,0,0,0,0,0,8456,0,0,0,224,12,0,1980-01-06T03:18:15,1633358138.0466409,2021-10-04T17:35:38
315965910,110000,1111258,999,999,31268,31268,0,0,10848,10848,10848,10848,0,0,8573,4227,19421,10848,999,0,0,0,0,0,8573,0,0,0,144,12,0,1980-01-06T03:18:30,1633358151.186765,2021-10-04T17:35:51
315965923,252000,1124272,1011,1011,31642,31642,0,0,10979,10979,10979,10979,0,0,8673,4286,19652,10979,1011,0,0,0,0,0,8673,0,0,0,65,12,0,1980-01-06T03:18:43,1633358164.97736,2021-10-04T17:36:04
315965938,60000,1139292,1024,1024,32069,32069,0,0,11128,11128,11128,11128,0,0,8789,4354,19917,11128,1024,0,0,0,0,0,8789,0,0,0,11,12,0,1980-01-06T03:18:58,1633358182.7570288,2021-10-04T17:36:22
315965954,111000,1155315,1039,1039,32529,32529,0,0,11288,11288,11288,11288,0,0,8914,4468,20202,11288,1039,0,0,0,0,0,8914,0,0,0,13,12,0,1980-01-06T03:19:14,1633358195.9271529,2021-10-04T17:36:35
315965967,22000,1168332,1050,1050,32903,32903,0,0,11419,11419,11419,11419,0,0,9015,4558,20434,11419,1050,0,0,0,0,0,9015,0,0,0,221,12,0,1980-01-06T03:19:27,1633358209.0371249,2021-10-04T17:36:49
315965981,198000,1182354,1063,1063,33305,33305,0,0,11559,11559,11559,11559,0,0,9124,4631,20683,11559,1063,0,0,0,0,0,9124,0,0,0,164,12,0,1980-01-06T03:19:41,1633358222.7267249,2021-10-04T17:37:02
315965997,24000,1198376,1077,1077,33763,33763,0,0,11719,11719,11719,11719,0,0,9248,4713,20967,11719,1077,0,0,0,0,0,9248,0,0,0,134,12,0,1980-01-06T03:19:57,1633358237.7364368,2021-10-04T17:37:17
315966010,225000,1211394,1089,1089,34135,34135,0,0,11848,11848,11848,11848,0,0,9350,4752,21198,11848,1089,0,0,0,0,0,9350,0,0,0,33,12,0,1980-01-06T03:20:10,1633358253.6269798,2021-10-04T17:37:33
315966025,84000,1226411,1103,1103,34568,34568,0,0,11999,11999,11999,11999,0,0,9467,4770,21466,11999,1103,0,0,0,0,0,9467,0,0,0,187,12,0,1980-01-06T03:20:25,1633358266.736356,2021-10-04T17:37:46
315966041,194000,1242435,1117,1117,35025,35025,0,0,12159,12159,12159,12159,0,0,9590,4771,21749,12159,1117,0,0,0,0,0,9590,0,0,0,76,12,0,1980-01-06T03:20:41,1633358283.016448,2021-10-04T17:38:03
315966055,83000,1256454,1130,1130,35427,35427,0,0,12299,12299,12299,12299,0,0,9699,4772,21998,12299,1130,0,0,0,0,0,9699,0,0,0,203,12,0,1980-01-06T03:20:55,1633358296.256253,2021-10-04T17:38:16
315966069,77000,1270474,1142,1142,35827,35827,0,0,12439,12439,12439,12439,0,0,9807,4772,22246,12439,1142,0,0,0,0,0,9807,0,0,0,73,12,0,1980-01-06T03:21:09,1633358312.1985328,2021-10-04T17:38:32
315966083,248000,1284496,1155,1155,36229,36229,0,0,12579,12579,12579,12579,0,0,9916,4772,22495,12579,1155,0,0,0,0,0,9916,0,0,0,199,12,0,1980-01-06T03:21:23,1633358325.3967369,2021-10-04T17:38:45
315966097,146000,1298518,1168,1168,36630,36630,0,0,12719,12719,12719,12719,0,0,10024,4772,22743,12719,1168,0,0,0,0,0,10024,0,0,0,69,12,0,1980-01-06T03:21:37,1633358338.6165369,2021-10-04T17:38:58
315966110,104000,1311539,1179,1179,36999,36999,0,0,12848,12848,12848,12848,0,0,10124,4772,22972,12848,1179,0,0,0,0,0,10124,0,0,0,185,12,0,1980-01-06T03:21:50,1633358352.3968039,2021-10-04T17:39:12
315966125,166000,1326561,1193,1193,37431,37431,0,0,12999,12999,12999,12999,0,0,10240,4773,23239,12999,1193,0,0,0,0,0,10240,0,0,0,66,12,0,1980-01-06T03:22:05,1633358365.507725,2021-10-04T17:39:25
315966139,101000,1340583,1206,1206,37832,37832,0,0,13139,13139,13139,13139,0,0,10348,4773,23487,13139,1206,0,0,0,0,0,10348,0,0,0,192,12,0,1980-01-06T03:22:19,1633358381.376281,2021-10-04T17:39:41
