time_s,time_us,time_steady,o2_conc,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315966131,813100,1331573,4.129765510559082,173,13,0,1980-01-06T03:22:11,1633358374.4869359,2021-10-04T17:39:34
315966140,813100,1340573,3.778594732284546,24,13,0,1980-01-06T03:22:20,1633358383.1576478,2021-10-04T17:39:43
315966159,813100,1359573,4.003344535827637,251,13,0,1980-01-06T03:22:39,1633358401.437072,2021-10-04T17:40:01
315966168,813100,1368573,2.0508358478546143,102,13,0,1980-01-06T03:22:48,1633358409.4767969,2021-10-04T17:40:09
315966178,813100,1378573,57.04413986206055,220,13,0,1980-01-06T03:22:58,1633358420.2460558,2021-10-04T17:40:20
315966187,813100,1387573,56.44013214111328,70,13,0,1980-01-06T03:23:07,1633358428.3180518,2021-10-04T17:40:28
315966196,813100,1396573,37.547157287597656,177,13,0,1980-01-06T03:23:16,1633358438.57596,2021-10-04T17:40:38
315966207,63200,1406573,27.798662185668945,39,13,0,1980-01-06T03:23:27,1633358447.276093,2021-10-04T17:40:47
315966215,63200,1414573,23.205352783203125,135,13,0,1980-01-06T03:23:35,1633358457.4958448,2021-10-04T17:40:57
315966226,63200,1425573,19.173912048339844,10,13,0,1980-01-06T03:23:46,1633358466.176081,2021-10-04T17:41:06
315966236,63200,1435573,14.454179763793945,128,13,0,1980-01-06T03:23:56,1633358477.026233,2021-10-04T17:41:17
315966244,63200,1443573,8.737123489379883,224,13,0,1980-01-06T03:24:04,1633358484.556416,2021-10-04T17:41:24
315966254,63200,1453573,5.941805362701416,86,13,0,1980-01-06T03:24:14,1633358495.4457679,2021-10-04T17:41:35
315966263,63200,1462573,5.098996162414551,192,13,0,1980-01-06T03:24:23,1633358503.506868,2021-10-04T17:41:43
315966272,63200,1471573,4.902340412139893,43,13,0,1980-01-06T03:24:32,1633358513.7863169,2021-10-04T17:41:53
315966281,63200,1480573,4.944480895996094,147,13,0,1980-01-06T03:24:41,1633358521.916805,2021-10-04T17:42:01
315966291,63200,1490573,1.559197187423706,4,13,0,1980-01-06T03:24:51,1633358532.876133,2021-10-04T17:42:12
315966300,63200,1499573,57.01604461669922,102,13,0,1980-01-06T03:25:00,1633358540.926117,2021-10-04T17:42:20
315966309,63200,1508573,44.121063232421875,200,13,0,1980-01-06T03:25:09,1633358551.286293,2021-10-04T17:42:31
315966319,63200,1518573,29.723073959350586,54,13,0,1980-01-06T03:25:19,1633358559.956197,2021-10-04T17:42:39
315966327,63200,1526573,23.682941436767578,139,13,0,1980-01-06T03:25:27,1633358567.485741,2021-10-04T17:42:47
315966336,63200,1535573,20.32575035095215,237,13,0,1980-01-06T03:25:36,1633358578.4756808,2021-10-04T17:42:58
315966345,63200,1544573,18.008024215698242,79,13,0,1980-01-06T03:25:45,1633358586.586052,2021-10-04T17:43:06
315966354,63200,1553573,16.364547729492188,177,13,0,1980-01-06T03:25:54,1633358596.228116,2021-10-04T17:43:16
315966363,63200,1562573,10.366554260253906,18,13,0,1980-01-06T03:26:03,1633358604.276432,2021-10-04T17:43:24
315966372,63200,1571573,7.290300369262695,116,13,0,1980-01-06T03:26:12,1633358614.536424,2021-10-04T17:43:34
315966381,63200,1580573,6.0120391845703125,214,13,0,1980-01-06T03:26:21,1633358622.626185,2021-10-04T17:43:42
315966390,63200,1589573,5.548494815826416,56,13,0,1980-01-06T03:26:30,1633358630.7061288,2021-10-04T17:43:50
315966400,322400,1599573,5.43612003326416,166,13,0,1980-01-06T03:26:40,1633358641.596184,2021-10-04T17:44:01
315966409,322400,1608573,1.615384578704834,8,13,0,1980-01-06T03:26:49,1633358649.675889,2021-10-04T17:44:09
315966418,322400,1617573,51.130428314208984,105,13,0,1980-01-06T03:26:58,1633358659.9958248,2021-10-04T17:44:19
315966427,322400,1626573,40.73578643798828,203,13,0,1980-01-06T03:27:07,1633358668.105916,2021-10-04T17:44:28
315966437,322400,1636573,29.105012893676758,55,13,0,1980-01-06T03:27:17,1633358678.4262168,2021-10-04T17:44:38
315966446,322400,1645573,23.331769943237305,153,13,0,1980-01-06T03:27:26,1633358686.616736,2021-10-04T17:44:46
315966455,322400,1654573,20.12909507751465,251,13,0,1980-01-06T03:27:35,1633358696.9564729,2021-10-04T17:44:56
315966465,322400,1664573,17.404010772705078,103,13,0,1980-01-06T03:27:45,1633358705.6357088,2021-10-04T17:45:05
315966472,322400,1671573,15.957191467285156,180,13,0,1980-01-06T03:27:52,1633358713.14828,2021-10-04T17:45:13
315966482,322400,1681573,10.661538124084473,32,13,0,1980-01-06T03:28:02,1633358723.466248,2021-10-04T17:45:23
315966491,322400,1690573,7.739798545837402,130,13,0,1980-01-06T03:28:11,1633358731.57618,2021-10-04T17:45:31
315966500,502900,1699573,6.433444499969482,228,13,0,1980-01-06T03:28:20,1633358741.92618,2021-10-04T17:45:41
315966510,502900,1709573,5.843478202819824,80,13,0,1980-01-06T03:28:30,1633358750.57668,2021-10-04T17:45:50
315966519,502900,1718573,5.759197235107422,178,13,0,1980-01-06T03:28:39,1633358760.9258568,2021-10-04T17:46:00
315966527,502900,1726573,1.840133547782898,9,13,0,1980-01-06T03:28:47,1633358768.4462478,2021-10-04T17:46:08
315966536,502900,1735573,36.381263732910156,107,13,0,1980-01-06T03:28:56,1633358778.4061599,2021-10-04T17:46:18
315966547,502900,1746573,36.170562744140625,227,13,0,1980-01-06T03:29:07,1633358789.3462799,2021-10-04T17:46:29
315966556,502900,1755573,28.03745460510254,69,13,0,1980-01-06T03:29:16,1633358796.8944159,2021-10-04T17:46:36
315966565,502900,1764573,23.233444213867188,167,13,0,1980-01-06T03:29:25,1633358807.2136838,2021-10-04T17:46:47
315966575,502900,1774573,19.820064544677734,19,13,0,1980-01-06T03:29:35,1633358815.933265,2021-10-04T17:46:55
315966584,502900,1783573,17.783275604248047,117,13,0,1980-01-06T03:29:44,1633358826.2427928,2021-10-04T17:47:06
315966592,502900,1791573,16.47692108154297,204,13,0,1980-01-06T03:29:52,1633358834.372357,2021-10-04T17:47:14
315966603,502900,1802573,11.096989631652832,66,13,0,1980-01-06T03:30:03,1633358844.7021768,2021-10-04T17:47:24
315966611,502900,1810573,8.638795852661133,154,13,0,1980-01-06T03:30:11,1633358852.2311409,2021-10-04T17:47:32
315966620,502900,1819573,7.177925109863281,252,13,0,1980-01-06T03:30:20,1633358860.300493,2021-10-04T17:47:40
315966630,502900,1829573,6.475584983825684,104,13,0,1980-01-06T03:30:30,1633358871.507088,2021-10-04T17:47:51
315966638,502900,1837573,6.236788749694824,191,13,0,1980-01-06T03:30:38,1633358878.8596048,2021-10-04T17:47:58
315966647,502900,1846573,6.194648265838623,33,13,0,1980-01-06T03:30:47,1633358889.2218409,2021-10-04T17:48:09
315966656,502900,1855573,2.626755475997925,131,13,0,1980-01-06T03:30:56,1633358897.358553,2021-10-04T17:48:17
315966665,502900,1864573,25.382604598999023,229,13,0,1980-01-06T03:31:05,1633358905.527997,2021-10-04T17:48:25
315966674,502900,1873573,36.016048431396484,71,13,0,1980-01-06T03:31:14,1633358916.45804,2021-10-04T17:48:36
315966684,502900,1883573,28.936452865600586,179,13,0,1980-01-06T03:31:24,1633358924.5775368,2021-10-04T17:48:44
315966692,502900,1891573,24.455516815185547,10,13,0,1980-01-06T03:31:32,1633358934.356765,2021-10-04T17:48:54
315966701,502900,1900573,20.676921844482422,108,13,0,1980-01-06T03:31:41,1633358943.098345,2021-10-04T17:49:03
315966712,502900,1911573,17.79732322692871,228,13,0,1980-01-06T03:31:52,1633358953.4062529,2021-10-04T17:49:13
315966720,502900,1919573,16.617389678955078,58,13,0,1980-01-06T03:32:00,1633358960.9155688,2021-10-04T17:49:20
315966741,502900,1940573,9.804680824279785,30,13,0,1980-01-06T03:32:21,1633358981.954768,2021-10-04T17:49:41
315966750,502900,1949573,8.498327255249023,128,13,0,1980-01-06T03:32:30,1633358990.1240919,2021-10-04T17:49:50
315966760,502900,1959573,7.6836113929748535,238,13,0,1980-01-06T03:32:40,1633359001.024361,2021-10-04T17:50:01
315966769,502900,1968573,7.402675151824951,80,13,0,1980-01-06T03:32:49,1633359009.203785,2021-10-04T17:50:09
315966777,502900,1976573,5.365886211395264,165,13,0,1980-01-06T03:32:57,1633359019.02316,2021-10-04T17:50:19
315966787,502900,1986573,8.709029197692871,19,13,0,1980-01-06T03:33:07,1633359027.802749,2021-10-04T17:50:27
315966796,502900,1995573,29.582605361938477,117,13,0,1980-01-06T03:33:16,1633359038.1219919,2021-10-04T17:50:38
315966804,633600,2003573,26.37993049621582,203,13,0,1980-01-06T03:33:24,1633359045.651584,2021-10-04T17:50:45
315966813,533500,2012573,22.53110122680664,44,13,0,1980-01-06T03:33:33,1633359056.491876,2021-10-04T17:50:56
315966823,633800,2022573,19.60936164855957,154,13,0,1980-01-06T03:33:43,1633359064.61344,2021-10-04T17:51:04
315966832,633800,2031573,17.713041305541992,252,13,0,1980-01-06T03:33:52,1633359072.1605768,2021-10-04T17:51:12
315966841,633800,2040573,16.603342056274414,94,13,0,1980-01-06T03:34:01,1633359082.500864,2021-10-04T17:51:22
315966851,633800,2050573,14.552506446838379,202,13,0,1980-01-06T03:34:11,1633359091.8700929,2021-10-04T17:51:31
315966860,633800,2059573,11.448160171508789,44,13,0,1980-01-06T03:34:20,1633359101.6103568,2021-10-04T17:51:41
315966869,633800,2068573,9.565884590148926,142,13,0,1980-01-06T03:34:29,1633359111.589344,2021-10-04T17:51:51
315966881,633800,2080573,8.428092002868652,16,13,0,1980-01-06T03:34:41,1633359122.4592369,2021-10-04T17:52:02
315966889,633800,2088573,8.076922416687012,104,13,0,1980-01-06T03:34:49,1633359130.0105278,2021-10-04T17:52:10
315966898,633800,2097573,3.2448155879974365,201,13,0,1980-01-06T03:34:58,1633359138.08832,2021-10-04T17:52:18
315966910,633800,2109573,21.056184768676758,76,13,0,1980-01-06T03:35:10,1633359150.9080079,2021-10-04T17:52:30
315966918,633800,2117573,24.104345321655273,161,13,0,1980-01-06T03:35:18,1633359158.3877769,2021-10-04T17:52:38
315966927,633800,2126573,21.772573471069336,3,13,0,1980-01-06T03:35:27,1633359168.7972279,2021-10-04T17:52:48
315966936,633800,2135573,19.4408016204834,101,13,0,1980-01-06T03:35:36,1633359176.937041,2021-10-04T17:52:56
315966945,633800,2144573,17.670902252197266,199,13,0,1980-01-06T03:35:45,1633359187.2876449,2021-10-04T17:53:07
315966954,633800,2153573,16.462873458862305,41,13,0,1980-01-06T03:35:54,1633359195.36678,2021-10-04T17:53:15
315966964,633800,2163573,15.311037063598633,151,13,0,1980-01-06T03:36:04,1633359206.2367399,2021-10-04T17:53:26
315966972,633800,2171573,13.52708911895752,236,13,0,1980-01-06T03:36:12,1633359213.7555919,2021-10-04T17:53:33
315966981,633800,2180573,11.630768775939941,78,13,0,1980-01-06T03:36:21,1633359221.885421,2021-10-04T17:53:41
315966991,633800,2190573,10.380600929260254,188,13,0,1980-01-06T03:36:31,1633359232.775481,2021-10-04T17:53:52
315966999,633800,2198573,9.776588439941406,18,13,0,1980-01-06T03:36:39,1633359240.2647328,2021-10-04T17:54:00
315967008,849600,2207573,9.397322654724121,115,13,0,1980-01-06T03:36:48,1633359251.184861,2021-10-04T17:54:11
315967018,849600,2217573,5.562541484832764,225,13,0,1980-01-06T03:36:58,1633359259.314292,2021-10-04T17:54:19
315967027,849600,2226573,5.660869121551514,67,13,0,1980-01-06T03:37:07,1633359269.6745439,2021-10-04T17:54:29
315967036,849600,2235573,20.0307674407959,165,13,0,1980-01-06T03:37:16,1633359277.7839289,2021-10-04T17:54:37
315967046,849600,2245573,20.044815063476562,17,13,0,1980-01-06T03:37:26,1633359285.9168649,2021-10-04T17:54:45
315967054,849600,2253573,18.654176712036133,105,13,0,1980-01-06T03:37:34,1633359295.683065,2021-10-04T17:54:55
315967063,849600,2262573,17.193309783935547,202,13,0,1980-01-06T03:37:43,1633359304.342865,2021-10-04T17:55:04
315967072,849600,2271573,16.0836124420166,44,13,0,1980-01-06T03:37:52,1633359314.643141,2021-10-04T17:55:14
315967081,849600,2280573,15.184615135192871,142,13,0,1980-01-06T03:38:01,1633359322.132536,2021-10-04T17:55:22
315967090,849600,2289573,14.243475914001465,240,13,0,1980-01-06T03:38:10,1633359330.3123598,2021-10-04T17:55:30
315967100,849600,2299573,12.192641258239746,92,13,0,1980-01-06T03:38:20,1633359341.203744,2021-10-04T17:55:41
315967108,965300,2307573,10.984613418579102,179,13,0,1980-01-06T03:38:28,1633359348.711645,2021-10-04T17:55:48
315967118,965300,2317573,10.057523727416992,31,13,0,1980-01-06T03:38:38,1633359359.611445,2021-10-04T17:55:59
315967127,965300,2326573,9.608026504516602,129,13,0,1980-01-06T03:38:47,1633359367.72104,2021-10-04T17:56:07
315967135,965300,2334573,8.863544464111328,217,13,0,1980-01-06T03:38:55,1633359377.41148,2021-10-04T17:56:17
315967145,965300,2344573,3.9050164222717285,69,13,0,1980-01-06T03:39:05,1633359386.081161,2021-10-04T17:56:26
315967154,965300,2353573,17.249494552612305,167,13,0,1980-01-06T03:39:14,1633359396.462921,2021-10-04T17:56:36
315967162,965300,2361573,18.62608528137207,254,13,0,1980-01-06T03:39:22,1633359403.940176,2021-10-04T17:56:43
315967171,965300,2370573,17.895648956298828,96,13,0,1980-01-06T03:39:31,1633359412.100152,2021-10-04T17:56:52
315967181,965300,2380573,16.799999237060547,204,13,0,1980-01-06T03:39:41,1633359422.969609,2021-10-04T17:57:02
315967190,965300,2389573,15.957191467285156,46,13,0,1980-01-06T03:39:50,1633359430.5418239,2021-10-04T17:57:10
315967199,965300,2398573,15.353175163269043,144,13,0,1980-01-06T03:39:59,1633359440.920189,2021-10-04T17:57:20
315967210,92400,2408573,14.38394546508789,252,13,0,1980-01-06T03:40:10,1633359450.2592158,2021-10-04T17:57:30
315967219,92400,2417573,12.712374687194824,93,13,0,1980-01-06T03:40:19,1633359459.9495158,2021-10-04T17:57:39
315967228,92400,2426573,11.448160171508789,191,13,0,1980-01-06T03:40:28,1633359468.1488888,2021-10-04T17:57:48
315967237,92400,2435573,10.661538124084473,33,13,0,1980-01-06T03:40:37,1633359476.338873,2021-10-04T17:57:56
