time_s,time_us,time_steady,resets_count,reset_cause,active_oscillator,time_base,time_syncs_attempted,time_syncs_performed,last_time_sync_time_steady,last_time_sync_delta_s,last_time_sync_delta_us,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315966068,105000,1269473,1,2,1,1,1140,153,1259523,0,387,62,12,0,1980-01-06T03:21:08,1633358311.599148,2021-10-04T17:38:31
315966082,276000,1283496,1,2,1,1,1153,155,1281661,0,320,188,12,0,1980-01-06T03:21:22,1633358324.8165329,2021-10-04T17:38:44
315966096,173000,1297517,1,2,1,1,1166,156,1291661,0,318,58,12,0,1980-01-06T03:21:36,1633358338.0362248,2021-10-04T17:38:58
315966110,104000,1311539,1,2,1,1,1178,157,1302767,0,340,184,12,0,1980-01-06T03:21:50,1633358351.8068,2021-10-04T17:39:11
315966124,192000,1325561,1,2,1,1,1191,158,1317211,0,313,55,12,0,1980-01-06T03:22:04,1633358365.507725,2021-10-04T17:39:25
315966138,126000,1339583,1,2,1,1,1204,159,1331571,0,326,181,12,0,1980-01-06T03:22:18,1633358381.376281,2021-10-04T17:39:41
315966152,59000,1353606,1,2,1,1,1216,160,1342642,0,314,126,12,0,1980-01-06T03:22:32,1633358394.5479798,2021-10-04T17:39:54
315966166,236000,1367619,1,2,1,1,1229,162,1364767,0,300,90,12,0,1980-01-06T03:22:46,1633358407.726028,2021-10-04T17:40:07
315966179,214000,1380636,1,2,1,1,1241,163,1376948,0,319,48,12,0,1980-01-06T03:22:59,1633358421.4561288,2021-10-04T17:40:21
315966194,149000,1395659,1,2,1,1,1254,164,1389200,0,313,253,12,0,1980-01-06T03:23:14,1633358434.616353,2021-10-04T17:40:34
315966207,250000,1408672,1,2,1,1,1266,165,1401364,0,522,193,12,0,1980-01-06T03:23:27,1633358450.0466769,2021-10-04T17:40:50
315966222,439000,1423695,1,2,1,1,1280,167,1421454,0,302,129,12,0,1980-01-06T03:23:42,1633358463.835916,2021-10-04T17:41:03
315966235,421000,1436714,1,2,1,1,1291,168,1433629,0,290,21,12,0,1980-01-06T03:23:55,1633358477.026233,2021-10-04T17:41:17
315966250,395000,1451739,1,2,1,1,1305,169,1446909,0,293,162,12,0,1980-01-06T03:24:10,1633358490.896512,2021-10-04T17:41:30
315966263,416000,1464758,1,2,1,1,1317,170,1461325,0,289,27,12,0,1980-01-06T03:24:23,1633358504.125809,2021-10-04T17:41:44
315966277,419000,1478780,1,2,1,1,1329,171,1475695,0,276,153,12,0,1980-01-06T03:24:37,1633358520.1265008,2021-10-04T17:42:00
315966291,438000,1492801,1,2,1,1,1342,172,1491216,0,287,23,12,0,1980-01-06T03:24:51,1633358533.4558969,2021-10-04T17:42:13
315966305,477000,1506823,1,2,1,1,1355,173,1504564,0,296,149,12,0,1980-01-06T03:25:05,1633358546.686172,2021-10-04T17:42:26
315966319,268000,1520843,1,2,1,1,1367,173,1504564,0,296,19,12,0,1980-01-06T03:25:19,1633358559.956197,2021-10-04T17:42:39
315966332,336000,1533865,1,2,1,1,1379,174,1521187,0,276,135,12,0,1980-01-06T03:25:32,1633358573.256188,2021-10-04T17:42:53
315966346,388000,1547886,1,2,1,1,1392,175,1538939,0,265,5,12,0,1980-01-06T03:25:46,1633358586.586052,2021-10-04T17:43:06
315966359,455000,1560905,1,2,1,1,1403,176,1557728,0,262,123,12,0,1980-01-06T03:25:59,1633358601.9063609,2021-10-04T17:43:21
315966373,285000,1574930,1,2,1,1,1416,176,1557728,0,262,83,12,0,1980-01-06T03:26:13,1633358615.115809,2021-10-04T17:43:35
315966386,372000,1587954,1,2,1,1,1428,177,1577659,0,263,43,12,0,1980-01-06T03:26:26,1633358628.3565998,2021-10-04T17:43:48
315966401,423000,1602978,1,2,1,1,1441,178,1597570,0,250,247,12,0,1980-01-06T03:26:41,1633358642.1762328,2021-10-04T17:44:02
315966413,580000,1614998,1,2,1,1,1452,179,1605334,0,317,137,12,0,1980-01-06T03:26:53,1633358655.3858929,2021-10-04T17:44:15
315966427,721000,1629085,1,2,1,1,1465,180,1626510,0,250,163,12,0,1980-01-06T03:27:07,1633358668.105916,2021-10-04T17:44:28
315966440,584000,1642106,1,2,1,1,1477,180,1626510,0,250,23,12,0,1980-01-06T03:27:20,1633358681.415953,2021-10-04T17:44:41
315966454,679000,1656128,1,2,1,1,1489,181,1649840,0,259,149,12,0,1980-01-06T03:27:34,1633358696.9564729,2021-10-04T17:44:56
315966467,555000,1669146,1,2,1,1,1501,181,1649840,0,259,11,12,0,1980-01-06T03:27:47,1633358710.186185,2021-10-04T17:45:10
315966481,663000,1683168,1,2,1,1,1514,182,1674187,0,240,137,12,0,1980-01-06T03:28:01,1633358723.466248,2021-10-04T17:45:23
315966495,557000,1697189,1,2,1,1,1526,182,1674187,0,240,7,12,0,1980-01-06T03:28:15,1633358736.7359169,2021-10-04T17:45:36
315966509,861000,1711211,1,2,1,1,1539,183,1705305,0,413,133,12,0,1980-01-06T03:28:29,1633358749.986312,2021-10-04T17:45:49
315966522,778000,1724232,1,2,1,1,1551,183,1705305,0,413,253,12,0,1980-01-06T03:28:42,1633358763.276185,2021-10-04T17:46:03
315966536,691000,1738253,1,2,1,1,1563,183,1705305,0,413,156,12,0,1980-01-06T03:28:56,1633358778.4061599,2021-10-04T17:46:18
315966550,829000,1752278,1,2,1,1,1576,184,1741945,0,227,122,12,0,1980-01-06T03:29:10,1633358793.9559078,2021-10-04T17:46:33
315966564,755000,1766302,1,2,1,1,1589,184,1741945,0,227,50,12,0,1980-01-06T03:29:24,1633358807.2136838,2021-10-04T17:46:47
315966579,673000,1781325,1,2,1,1,1602,184,1741945,0,227,6,12,0,1980-01-06T03:29:39,1633358820.4830039,2021-10-04T17:47:00
315966592,817000,1794349,1,2,1,1,1614,185,1785146,0,228,188,12,0,1980-01-06T03:29:52,1633358833.78214,2021-10-04T17:47:13
315966606,732000,1808372,1,2,1,1,1626,185,1785146,0,228,94,12,0,1980-01-06T03:30:06,1633358847.05154,2021-10-04T17:47:27
315966619,650000,1821391,1,2,1,1,1638,185,1785146,0,228,228,12,0,1980-01-06T03:30:19,1633358860.300493,2021-10-04T17:47:40
315966632,786000,1834414,1,2,1,1,1650,186,1823907,0,231,108,12,0,1980-01-06T03:30:32,1633358873.6801999,2021-10-04T17:47:53
315966646,698000,1848436,1,2,1,1,1663,186,1823907,0,231,253,12,0,1980-01-06T03:30:46,1633358886.4324489,2021-10-04T17:48:06
315966659,828000,1861455,1,2,1,1,1674,187,1860539,0,227,115,12,0,1980-01-06T03:30:59,1633358902.529897,2021-10-04T17:48:22
315966674,747000,1876479,1,2,1,1,1688,187,1860539,0,227,249,12,0,1980-01-06T03:31:14,1633358915.8776119,2021-10-04T17:48:35
315966687,677000,1889497,1,2,1,1,1698,187,1860539,0,227,204,12,0,1980-01-06T03:31:27,1633358928.607192,2021-10-04T17:48:48
315966700,611000,1902519,1,2,1,1,1710,187,1860539,0,227,64,12,0,1980-01-06T03:31:40,1633358941.886693,2021-10-04T17:49:01
315966714,793000,1916540,1,2,1,1,1723,188,1903914,0,263,190,12,0,1980-01-06T03:31:54,1633358955.156296,2021-10-04T17:49:15
315966727,729000,1929559,1,2,1,1,1735,188,1903914,0,263,52,12,0,1980-01-06T03:32:07,1633358968.535745,2021-10-04T17:49:28
315966743,650000,1945583,1,2,1,1,1749,188,1903914,0,263,204,12,0,1980-01-06T03:32:23,1633358983.706724,2021-10-04T17:49:43
315966757,790000,1959607,1,2,1,1,1762,189,1951555,0,222,138,12,0,1980-01-06T03:32:37,1633358999.274416,2021-10-04T17:49:59
315966770,719000,1972627,1,2,1,1,1773,189,1951555,0,222,93,12,0,1980-01-06T03:32:50,1633359013.20298,2021-10-04T17:50:13
315966785,628000,1987644,1,2,1,1,1787,189,1951555,0,222,80,12,0,1980-01-06T03:33:05,1633359026.623204,2021-10-04T17:50:26
315966798,766000,2000657,1,2,1,1,1799,190,1994864,0,226,32,12,0,1980-01-06T03:33:18,1633359039.312433,2021-10-04T17:50:39
315966811,694000,2013675,1,2,1,1,1810,190,1994864,0,226,252,12,0,1980-01-06T03:33:31,1633359052.541553,2021-10-04T17:50:52
315966825,825000,2027690,1,2,1,1,1823,191,2019323,0,223,187,12,0,1980-01-06T03:33:45,1633359065.791452,2021-10-04T17:51:05
315966838,753000,2040708,1,2,1,1,1835,191,2019323,0,223,91,12,0,1980-01-06T03:33:58,1633359079.1103568,2021-10-04T17:51:19
315966852,671000,2054727,1,2,1,1,1847,191,2019323,0,223,251,12,0,1980-01-06T03:34:12,1633359095.240089,2021-10-04T17:51:35
315966881,711000,2083770,1,2,1,1,1874,192,2061531,0,225,6,12,0,1980-01-06T03:34:41,1633359123.6390119,2021-10-04T17:52:03
315966895,625000,2097791,1,2,1,1,1886,192,2061531,0,225,132,12,0,1980-01-06T03:34:55,1633359136.89838,2021-10-04T17:52:16
315966911,743000,2113816,1,2,1,1,1901,193,2100392,0,230,20,12,0,1980-01-06T03:35:11,1633359152.0780919,2021-10-04T17:52:32
315966925,659000,2127838,1,2,1,1,1913,193,2100392,0,230,146,12,0,1980-01-06T03:35:25,1633359165.35782,2021-10-04T17:52:45
315966939,786000,2141860,1,2,1,1,1926,194,2133602,0,228,16,12,0,1980-01-06T03:35:39,1633359180.9278798,2021-10-04T17:53:00
315966952,703000,2154881,1,2,1,1,1938,194,2133602,0,228,132,12,0,1980-01-06T03:35:52,1633359194.1467,2021-10-04T17:53:14
315966965,618000,2167899,1,2,1,1,1949,194,2133602,0,228,4,12,0,1980-01-06T03:36:05,1633359206.8264039,2021-10-04T17:53:26
315966978,979000,2180921,1,2,1,1,1961,195,2169260,0,228,133,12,0,1980-01-06T03:36:18,1633359220.705492,2021-10-04T17:53:40
315966992,889000,2194946,1,2,1,1,1974,195,2169260,0,228,109,12,0,1980-01-06T03:36:32,1633359233.365481,2021-10-04T17:53:53
315967006,793000,2208968,1,2,1,1,1986,195,2169260,0,228,8,12,0,1980-01-06T03:36:46,1633359246.624585,2021-10-04T17:54:06
315967019,837000,2221988,1,2,1,1,1998,196,2211465,0,233,156,12,0,1980-01-06T03:36:59,1633359259.935621,2021-10-04T17:54:19
315967034,20000,2236080,1,2,1,1,2011,197,2231443,0,233,148,12,0,1980-01-06T03:37:14,1633359276.02426,2021-10-04T17:54:36
315967046,921000,2249099,1,2,1,1,2022,197,2231443,0,233,10,12,0,1980-01-06T03:37:26,1633359288.7043839,2021-10-04T17:54:48
315967061,34000,2263121,1,2,1,1,2035,198,2262517,0,236,136,12,0,1980-01-06T03:37:41,1633359301.9928758,2021-10-04T17:55:01
315967073,935000,2276139,1,2,1,1,2047,198,2262517,0,236,254,12,0,1980-01-06T03:37:53,1633359315.222632,2021-10-04T17:55:15
315967087,830000,2290161,1,2,1,1,2059,198,2262517,0,236,124,12,0,1980-01-06T03:38:07,1633359328.5124168,2021-10-04T17:55:28
315967101,946000,2304183,1,2,1,1,2072,199,2293580,0,235,250,12,0,1980-01-06T03:38:21,1633359341.7920399,2021-10-04T17:55:41
315967115,67000,2317205,1,2,1,1,2084,200,2308068,0,231,110,12,0,1980-01-06T03:38:35,1633359355.0415409,2021-10-04T17:55:55
315967128,963000,2331227,1,2,1,1,2096,200,2308068,0,231,238,12,0,1980-01-06T03:38:48,1633359368.3015049,2021-10-04T17:56:08
315967142,86000,2344247,1,2,1,1,2108,201,2340207,0,240,120,12,0,1980-01-06T03:39:02,1633359383.7214558,2021-10-04T17:56:23
315967155,977000,2358271,1,2,1,1,2121,201,2340207,0,240,74,12,0,1980-01-06T03:39:15,1633359397.0405328,2021-10-04T17:56:37
315967170,86000,2372296,1,2,1,1,2133,202,2369066,0,238,43,12,0,1980-01-06T03:39:30,1633359410.35036,2021-10-04T17:56:50
315967182,983000,2385319,1,2,1,1,2145,202,2369066,0,238,221,12,0,1980-01-06T03:39:42,1633359423.5596368,2021-10-04T17:57:03
315967196,99000,2398341,1,2,1,1,2157,203,2397908,0,245,156,12,0,1980-01-06T03:39:56,1633359436.942924,2021-10-04T17:57:16
315967211,200000,2413368,1,2,1,1,2171,204,2410067,0,243,90,12,0,1980-01-06T03:40:11,1633359450.8495848,2021-10-04T17:57:30
315967225,79000,2427391,1,2,1,1,2183,204,2410067,0,243,245,12,0,1980-01-06T03:40:25,1633359466.359741,2021-10-04T17:57:46
315967238,189000,2440410,1,2,1,1,2195,205,2437700,0,241,116,12,0,1980-01-06T03:40:38,1633359479.128928,2021-10-04T17:57:59
315967251,76000,2453432,1,2,1,1,2207,205,2437700,0,241,232,12,0,1980-01-06T03:40:51,1633359492.378612,2021-10-04T17:58:12
315967265,168000,2467454,1,2,1,1,2219,206,2464283,0,239,102,12,0,1980-01-06T03:41:05,1633359505.6080809,2021-10-04T17:58:25
315967279,39000,2481476,1,2,1,1,2232,206,2464283,0,239,228,12,0,1980-01-06T03:41:19,1633359518.857504,2021-10-04T17:58:38
315967291,147000,2493495,1,2,1,1,2243,207,2489806,0,244,80,12,0,1980-01-06T03:41:31,1633359532.1081169,2021-10-04T17:58:52
315967306,1000,2508517,1,2,1,1,2256,207,2489806,0,244,216,12,0,1980-01-06T03:41:46,1633359546.037385,2021-10-04T17:59:06
315967318,112000,2520536,1,2,1,1,2267,208,2514297,0,248,68,12,0,1980-01-06T03:41:58,1633359558.717025,2021-10-04T17:59:18
315967331,976000,2534558,1,2,1,1,2280,208,2514297,0,248,194,12,0,1980-01-06T03:42:11,1633359571.4670398,2021-10-04T17:59:31
315967346,60000,2548576,1,2,1,1,2292,209,2538664,0,247,76,12,0,1980-01-06T03:42:26,1633359586.9068959,2021-10-04T17:59:46
315967358,929000,2561596,1,2,1,1,2304,209,2538664,0,247,251,12,0,1980-01-06T03:42:38,1633359600.2259328,2021-10-04T18:00:00
315967373,15000,2575616,1,2,1,1,2317,210,2563068,0,254,223,12,0,1980-01-06T03:42:53,1633359613.458329,2021-10-04T18:00:13
315967386,98000,2588626,1,2,1,1,2329,211,2586339,0,251,178,12,0,1980-01-06T03:43:06,1633359627.326249,2021-10-04T18:00:27
315967399,949000,2602648,1,2,1,1,2341,211,2586339,0,251,178,12,0,1980-01-06T03:43:19,1633359640.5752358,2021-10-04T18:00:40
315967414,220000,2616661,1,2,1,1,2354,212,2605178,0,452,168,12,0,1980-01-06T03:43:34,1633359653.23468,2021-10-04T18:00:53
315967427,306000,2629682,1,2,1,1,2366,213,2627437,0,250,107,12,0,1980-01-06T03:43:47,1633359666.4458928,2021-10-04T18:01:06
