time_s,time_us,time_steady,state,pump_on,pump_on_time_steady,pump_off,pump_off_time_steady,valve_open,valve_open_time_steady,valve_close,valve_close_time_steady,seq,srcSystem,srcComponent,time_gregorian,log_timestamp,log_timestamp_gregorian
315965178,986900,379577,3,2,377351,1,1148,2,377351,1,1148,142,13,0,1980-01-06T03:06:18,1633357421.003401,2021-10-04T17:23:41
315965206,150200,406577,0,3,387551,96,406551,2,377351,2,387551,206,13,0,1980-01-06T03:06:46,1633357448.956089,2021-10-04T17:24:08
315965220,150200,420577,0,3,387551,166,420551,2,377351,2,387551,117,13,0,1980-01-06T03:07:00,1633357462.537637,2021-10-04T17:24:22
315965234,150300,434577,0,3,387551,236,434551,2,377351,2,387551,27,13,0,1980-01-06T03:07:14,1633357476.159569,2021-10-04T17:24:36
315965247,150200,447577,0,3,387551,45,447551,2,377351,2,387551,181,13,0,1980-01-06T03:07:27,1633357489.216356,2021-10-04T17:24:49
315965275,150200,475577,0,3,387551,46,447751,2,377351,3,447751,1,13,0,1980-01-06T03:07:55,1633357517.367064,2021-10-04T17:25:17
315965289,150200,489577,0,3,387551,46,447751,2,377351,3,447751,168,13,0,1980-01-06T03:08:09,1633357530.90652,2021-10-04T17:25:30
315965303,150300,503577,0,3,387551,46,447751,2,377351,3,447751,78,13,0,1980-01-06T03:08:23,1633357544.586736,2021-10-04T17:25:44
315965316,150200,516577,0,3,387551,46,447751,2,377351,3,447751,232,13,0,1980-01-06T03:08:36,1633357557.6465678,2021-10-04T17:25:57
315965343,150200,543577,0,5,529551,116,543551,3,519351,4,529551,41,13,0,1980-01-06T03:09:03,1633357586.3865168,2021-10-04T17:26:26
315965357,150300,557577,0,5,529551,186,557551,3,519351,4,529551,206,13,0,1980-01-06T03:09:17,1633357599.4669719,2021-10-04T17:26:39
315965371,150200,571577,0,5,529551,0,571551,3,519351,4,529551,116,13,0,1980-01-06T03:09:31,1633357612.546881,2021-10-04T17:26:52
315965384,150300,584577,0,5,529551,65,584551,3,519351,4,529551,15,13,0,1980-01-06T03:09:44,1633357626.156796,2021-10-04T17:27:06
