time_s,time_us,time_steady,temperature,pressure,humidity,altitude,seq,srcSystem,srcComponent,time_gregorian
315966878,212300,2077152,-37.225125326031204,30000.0,16.080657247985037,9177.1826171875,233,13,1,1980-01-06T03:34:38
315966879,212300,2078152,-37.06183998153101,30000.0,16.06903277994563,9177.1826171875,243,13,1,1980-01-06T03:34:39
315966880,212300,2079152,-37.062474099956944,30000.0,16.069055894959675,9177.1826171875,0,13,1,1980-01-06T03:34:40
315966881,212300,2080152,-37.05486467854562,30000.0,16.06875538847738,9177.1826171875,10,13,1,1980-01-06T03:34:41
315966882,212300,2081152,-38.19246591061155,30000.0,16.108191887360316,9177.1826171875,20,13,1,1980-01-06T03:34:42
315966883,212300,2082152,-38.00635433580881,30000.0,16.100927965317037,9177.1826171875,32,13,1,1980-01-06T03:34:43
315966884,212300,2083152,-38.31136151568696,30000.0,16.11282612940934,9177.1826171875,42,13,1,1980-01-06T03:34:44
315966885,212300,2084152,-38.03996224712334,30000.0,16.102240058579426,9177.1826171875,53,13,1,1980-01-06T03:34:45
315966886,212300,2085152,-37.10622826036415,30000.0,16.06559109880094,9177.1826171875,65,13,1,1980-01-06T03:34:46
315966887,212300,2086152,-37.07674176333819,30000.0,16.064427608135208,9177.1826171875,75,13,1,1980-01-06T03:34:47
315966888,212300,2087152,-38.27521726865723,30000.0,16.10624450849562,9177.1826171875,85,13,1,1980-01-06T03:34:48
315966889,212300,2088152,-37.22163768104765,30000.0,16.06495261209178,9177.1826171875,97,13,1,1980-01-06T03:34:49
315966890,212300,2089152,-37.08086353233084,30000.0,16.059406489089465,9177.1826171875,108,13,1,1980-01-06T03:34:50
315966891,212300,2090152,-37.99494032528671,30000.0,16.095307133668395,9177.1826171875,118,13,1,1980-01-06T03:34:51
315966892,212300,2091152,-37.07420529001645,30000.0,16.059136673213118,9177.1826171875,130,13,1,1980-01-06T03:34:52
315966893,212300,2092152,-37.04598701940476,30000.0,16.05283522765827,9177.1826171875,140,13,1,1980-01-06T03:34:53
315966894,212300,2093152,-37.049157612057385,30000.0,16.047767549985547,9177.1826171875,150,13,1,1980-01-06T03:34:54
