time_s,time_us,time_steady,deg,vdda,vbat,seq,srcSystem,srcComponent,time_gregorian
315968057,230200,3254989,-16.691448211669922,3.311000108718872,3.2975823879241943,234,13,0,1980-01-06T03:54:17
315968058,230200,3255989,-16.691448211669922,3.311000108718872,3.2895236015319824,244,13,0,1980-01-06T03:54:18
315968059,230200,3256989,-16.691448211669922,3.311000108718872,3.2975823879241943,254,13,0,1980-01-06T03:54:19
315968060,230200,3257989,-16.691448211669922,3.311000108718872,3.2975823879241943,10,13,0,1980-01-06T03:54:20
315968061,230200,3258989,-16.691448211669922,3.311000108718872,3.2895236015319824,21,13,0,1980-01-06T03:54:21
315968062,230200,3259989,-16.691448211669922,3.311000108718872,3.2895236015319824,31,13,0,1980-01-06T03:54:22
315968063,230200,3260989,-16.691448211669922,3.311000108718872,3.2959706783294678,43,13,0,1980-01-06T03:54:23
315968064,230200,3261989,-16.691448211669922,3.311000108718872,3.2975823879241943,53,13,0,1980-01-06T03:54:24
315968065,230200,3262989,-16.691448211669922,3.311000108718872,3.2895236015319824,63,13,0,1980-01-06T03:54:25
315968066,230200,3263989,-16.691448211669922,3.311000108718872,3.2975823879241943,76,13,0,1980-01-06T03:54:26
315968067,230200,3264989,-16.691448211669922,3.311000108718872,3.2895236015319824,86,13,0,1980-01-06T03:54:27
315968068,230200,3265989,-16.691448211669922,3.311000108718872,3.2895236015319824,96,13,0,1980-01-06T03:54:28
315968069,230200,3266989,-16.691448211669922,3.311000108718872,3.291135549545288,108,13,0,1980-01-06T03:54:29
315968070,230200,3267989,-16.691448211669922,3.312999963760376,3.2975823879241943,118,13,0,1980-01-06T03:54:30
315968071,230200,3268989,-16.691448211669922,3.311000108718872,3.2814650535583496,129,13,0,1980-01-06T03:54:31
315968072,230200,3269989,-16.691448211669922,3.311000108718872,3.2750184535980225,141,13,0,1980-01-06T03:54:32
315968073,230200,3270989,-16.39405059814453,3.311000108718872,3.2830770015716553,151,13,0,1980-01-06T03:54:33
315968074,230200,3271989,-16.691448211669922,3.311000108718872,3.2750184535980225,161,13,0,1980-01-06T03:54:34
315968075,230200,3272989,-16.691448211669922,3.311000108718872,3.2750184535980225,173,13,0,1980-01-06T03:54:35
315968076,230200,3273989,-16.691448211669922,3.311000108718872,3.2814650535583496,184,13,0,1980-01-06T03:54:36
315968077,230200,3274989,-16.691448211669922,3.311000108718872,3.27662992477417,194,13,0,1980-01-06T03:54:37
315968078,230200,3275989,-16.691448211669922,3.311000108718872,3.2830770015716553,206,13,0,1980-01-06T03:54:38
315968079,230200,3276989,-16.691448211669922,3.311000108718872,3.2830770015716553,216,13,0,1980-01-06T03:54:39
315968080,230200,3277989,-16.691448211669922,3.311000108718872,3.2895236015319824,226,13,0,1980-01-06T03:54:40
315968081,230200,3278989,-16.691448211669922,3.311000108718872,3.2250547409057617,239,13,0,1980-01-06T03:54:41
315968082,230200,3279989,-16.691448211669922,3.311000108718872,3.2443954944610596,249,13,0,1980-01-06T03:54:42
315968083,230200,3280989,-16.691448211669922,3.311000108718872,3.250842571258545,3,13,0,1980-01-06T03:54:43
