time_s,time_us,time_steady,resets_count,reset_cause,active_oscillator,time_base,time_syncs_attempted,time_syncs_performed,last_time_sync_time_steady,last_time_sync_delta_s,last_time_sync_delta_us,seq,srcSystem,srcComponent,time_gregorian
315964983,56900,185577,1,2,0,1,163,2,6548,315964797,768382,143,13,0,1980-01-06T03:03:03
315964986,56900,188577,1,2,0,1,166,2,6548,315964797,768382,179,13,0,1980-01-06T03:03:06
315964989,56900,191577,1,2,0,1,169,2,6548,315964797,768382,214,13,0,1980-01-06T03:03:09
315964992,56900,194577,1,2,0,1,171,2,6548,315964797,768382,250,13,0,1980-01-06T03:03:12
315964995,56900,197577,1,2,0,1,174,2,6548,315964797,768382,29,13,0,1980-01-06T03:03:15
315964999,957300,200577,1,2,0,1,177,3,200148,1,900425,65,13,0,1980-01-06T03:03:19
315965002,957300,203577,1,2,0,1,180,3,200148,1,900425,101,13,0,1980-01-06T03:03:22
315965005,957300,206577,1,2,0,1,182,3,200148,1,900425,136,13,0,1980-01-06T03:03:25
315965008,957300,209577,1,2,0,1,185,3,200148,1,900425,172,13,0,1980-01-06T03:03:28
315965011,957300,212577,1,2,0,1,188,3,200148,1,900425,207,13,0,1980-01-06T03:03:31
315965014,957300,215577,1,2,0,1,190,3,200148,1,900425,243,13,0,1980-01-06T03:03:34
315965017,957300,218577,1,2,0,1,193,3,200148,1,900425,23,13,0,1980-01-06T03:03:37
315965020,957300,221577,1,2,0,1,196,3,200148,1,900425,58,13,0,1980-01-06T03:03:40
315965023,957300,224577,1,2,0,1,199,3,200148,1,900425,94,13,0,1980-01-06T03:03:43
315965026,957300,227577,1,2,0,1,201,3,200148,1,900425,129,13,0,1980-01-06T03:03:46
315965029,957300,230577,1,2,0,1,204,3,200148,1,900425,165,13,0,1980-01-06T03:03:49
315965032,957300,233577,1,2,0,1,207,3,200148,1,900425,201,13,0,1980-01-06T03:03:52
315965035,957300,236577,1,2,0,1,209,3,200148,1,900425,236,13,0,1980-01-06T03:03:55
315965038,957300,239577,1,2,0,1,212,3,200148,1,900425,16,13,0,1980-01-06T03:03:58
315965041,957300,242577,1,2,0,1,215,3,200148,1,900425,51,13,0,1980-01-06T03:04:01
315965044,957300,245577,1,2,0,1,217,3,200148,1,900425,87,13,0,1980-01-06T03:04:04
315965047,957300,248577,1,2,0,1,220,3,200148,1,900425,123,13,0,1980-01-06T03:04:07
315965050,957300,251577,1,2,0,1,223,3,200148,1,900425,158,13,0,1980-01-06T03:04:10
315965053,957300,254577,1,2,0,1,226,3,200148,1,900425,194,13,0,1980-01-06T03:04:13
315965056,957300,257577,1,2,0,1,228,3,200148,1,900425,229,13,0,1980-01-06T03:04:16
315965059,957300,260577,1,2,0,1,231,3,200148,1,900425,9,13,0,1980-01-06T03:04:19
315965062,957300,263577,1,2,0,1,234,3,200148,1,900425,45,13,0,1980-01-06T03:04:22
315965065,957300,266577,1,2,0,1,236,3,200148,1,900425,80,13,0,1980-01-06T03:04:25
315965068,957300,269577,1,2,0,1,239,3,200148,1,900425,116,13,0,1980-01-06T03:04:28
315965071,957300,272577,1,2,0,1,242,3,200148,1,900425,151,13,0,1980-01-06T03:04:31
315965074,957300,275577,1,2,0,1,245,3,200148,1,900425,187,13,0,1980-01-06T03:04:34
315965077,957300,278577,1,2,0,1,247,3,200148,1,900425,223,13,0,1980-01-06T03:04:37
315965080,957300,281577,1,2,0,1,250,3,200148,1,900425,2,13,0,1980-01-06T03:04:40
315965083,957300,284577,1,2,0,1,253,3,200148,1,900425,38,13,0,1980-01-06T03:04:43
315965086,957300,287577,1,2,0,1,255,3,200148,1,900425,73,13,0,1980-01-06T03:04:46
315965089,957300,290577,1,2,0,1,258,3,200148,1,900425,109,13,0,1980-01-06T03:04:49
315965092,957300,293577,1,2,0,1,261,3,200148,1,900425,145,13,0,1980-01-06T03:04:52
315965095,957300,296577,1,2,0,1,264,3,200148,1,900425,180,13,0,1980-01-06T03:04:55
315965098,957300,299577,1,2,0,1,266,3,200148,1,900425,216,13,0,1980-01-06T03:04:58
315965101,957300,302577,1,2,0,1,269,3,200148,1,900425,251,13,0,1980-01-06T03:05:01
315965104,957300,305577,1,2,0,1,272,3,200148,1,900425,31,13,0,1980-01-06T03:05:04
315965107,957300,308577,1,2,0,1,274,3,200148,1,900425,67,13,0,1980-01-06T03:05:07
315965110,957300,311577,1,2,0,1,277,3,200148,1,900425,102,13,0,1980-01-06T03:05:10
315965113,957300,314577,1,2,0,1,280,3,200148,1,900425,138,13,0,1980-01-06T03:05:13
315965116,957300,317577,1,2,0,1,282,3,200148,1,900425,173,13,0,1980-01-06T03:05:16
315965119,957300,320577,1,2,0,1,285,3,200148,1,900425,209,13,0,1980-01-06T03:05:19
315965122,957300,323577,1,2,0,1,288,3,200148,1,900425,245,13,0,1980-01-06T03:05:22
315965125,957300,326577,1,2,0,1,291,3,200148,1,900425,24,13,0,1980-01-06T03:05:25
315965128,957300,329577,1,2,0,1,293,3,200148,1,900425,60,13,0,1980-01-06T03:05:28
315965131,957300,332577,1,2,0,1,296,3,200148,1,900425,95,13,0,1980-01-06T03:05:31
315965134,957300,335577,1,2,0,1,299,3,200148,1,900425,131,13,0,1980-01-06T03:05:34
315965137,957300,338577,1,2,0,1,301,3,200148,1,900425,167,13,0,1980-01-06T03:05:37
315965140,957300,341577,1,2,0,1,304,3,200148,1,900425,202,13,0,1980-01-06T03:05:40
