time_s,time_us,time_steady,count_tick,delta_time,seq,srcSystem,srcComponent,time_gregorian
5,662300,5951,6,5951,63,13,1,1970-01-01T03:00:05
315964804,630600,7151,6,7151,74,13,1,1980-01-06T03:00:04
315964804,630600,7151,6,7151,85,13,1,1980-01-06T03:00:04
315964805,830600,8351,6,8351,99,13,1,1980-01-06T03:00:05
315964807,30600,9551,7,9551,110,13,1,1980-01-06T03:00:07
2,151300,1151,0,1151,3,13,1,1970-01-01T03:00:02
2,151300,1151,0,1151,14,13,1,1970-01-01T03:00:02
5,662200,5951,2,5951,63,13,1,1970-01-01T03:00:05
315964804,630500,7151,2,7151,74,13,1,1980-01-06T03:00:04
315964804,630500,7151,2,7151,85,13,1,1980-01-06T03:00:04
315964805,830500,8351,2,8351,99,13,1,1980-01-06T03:00:05
315964807,30500,9551,2,9551,110,13,1,1980-01-06T03:00:07
2,151300,1151,0,1151,3,13,1,1970-01-01T03:00:02
2,151300,1151,0,1151,14,13,1,1970-01-01T03:00:02
5,662100,5951,2,5951,63,13,1,1970-01-01T03:00:05
315964804,630500,7151,2,7151,74,13,1,1980-01-06T03:00:04
315964804,630500,7151,2,7151,85,13,1,1980-01-06T03:00:04
315964805,830500,8351,2,8351,99,13,1,1980-01-06T03:00:05
315964807,30500,9551,2,9551,110,13,1,1980-01-06T03:00:07
2,151300,1151,0,1151,3,13,1,1970-01-01T03:00:02
2,151300,1151,0,1151,14,13,1,1970-01-01T03:00:02
5,663300,5951,0,5951,63,13,1,1970-01-01T03:00:05
315964804,631600,7151,0,7151,74,13,1,1980-01-06T03:00:04
315964804,631600,7151,0,7151,85,13,1,1980-01-06T03:00:04
315964805,831600,8351,0,8351,99,13,1,1980-01-06T03:00:05
315964807,31600,9551,0,9551,110,13,1,1980-01-06T03:00:07
315964808,231600,10751,0,10751,121,13,1,1980-01-06T03:00:08
315964809,431600,11951,1,11951,134,13,1,1980-01-06T03:00:09
315964810,631700,13151,1,13151,145,13,1,1980-01-06T03:00:10
315964810,631700,13151,1,13151,157,13,1,1980-01-06T03:00:10
315964811,831700,14351,1,14351,170,13,1,1980-01-06T03:00:11
315964813,31600,15551,1,15551,181,13,1,1980-01-06T03:00:13
315964814,231600,16751,1,16751,192,13,1,1980-01-06T03:00:14
315964815,431600,17951,2,17951,205,13,1,1980-01-06T03:00:15
315964816,631600,19151,2,19151,217,13,1,1980-01-06T03:00:16
315964816,631600,19151,2,19151,228,13,1,1980-01-06T03:00:16
315964817,831600,20351,3,20351,241,13,1,1980-01-06T03:00:17
315964819,31600,21551,3,21551,252,13,1,1980-01-06T03:00:19
315964820,231600,22751,3,22751,7,13,1,1980-01-06T03:00:20
315964821,431600,23951,3,23951,21,13,1,1980-01-06T03:00:21
315964822,631600,25151,3,25151,32,13,1,1980-01-06T03:00:22
315964822,631600,25151,3,25151,43,13,1,1980-01-06T03:00:22
315964823,831600,26351,3,26351,56,13,1,1980-01-06T03:00:23
315964825,31700,27551,3,27551,67,13,1,1980-01-06T03:00:25
315964826,231700,28751,3,28751,79,13,1,1980-01-06T03:00:26
315964827,431700,29951,3,29951,92,13,1,1980-01-06T03:00:27
315964828,631600,31151,3,31151,103,13,1,1980-01-06T03:00:28
315964828,631600,31151,3,31151,114,13,1,1980-01-06T03:00:28
315964829,831600,32351,3,32351,127,13,1,1980-01-06T03:00:29
315964831,31600,33551,4,33551,139,13,1,1980-01-06T03:00:31
315964832,231600,34751,4,34751,150,13,1,1980-01-06T03:00:32
315964833,431600,35951,4,35951,163,13,1,1980-01-06T03:00:33
315964834,631600,37151,4,37151,174,13,1,1980-01-06T03:00:34
315964834,631600,37151,4,37151,185,13,1,1980-01-06T03:00:34
315964835,831600,38351,5,38351,199,13,1,1980-01-06T03:00:35
315964837,31600,39551,5,39551,210,13,1,1980-01-06T03:00:37
315964838,231600,40751,5,40751,221,13,1,1980-01-06T03:00:38
315964839,431600,41951,5,41951,234,13,1,1980-01-06T03:00:39
315964840,631700,43151,5,43151,245,13,1,1980-01-06T03:00:40
315964840,631700,43151,5,43151,1,13,1,1980-01-06T03:00:40
315964841,831700,44351,5,44351,14,13,1,1980-01-06T03:00:41
315964843,31600,45551,6,45551,25,13,1,1980-01-06T03:00:43
315964844,231600,46751,6,46751,36,13,1,1980-01-06T03:00:44
315964845,431600,47951,6,47951,49,13,1,1980-01-06T03:00:45
315964846,631600,49151,6,49151,61,13,1,1980-01-06T03:00:46
315964846,631600,49151,6,49151,72,13,1,1980-01-06T03:00:46
315964847,831600,50351,6,50351,85,13,1,1980-01-06T03:00:47
315964849,31600,51551,6,51551,96,13,1,1980-01-06T03:00:49
315964850,231600,52751,6,52751,107,13,1,1980-01-06T03:00:50
315964851,431600,53951,6,53951,121,13,1,1980-01-06T03:00:51
315964852,631600,55151,6,55151,132,13,1,1980-01-06T03:00:52
315964852,631600,55151,6,55151,143,13,1,1980-01-06T03:00:52
315964853,831700,56351,7,56351,156,13,1,1980-01-06T03:00:53
315964855,31700,57551,8,57551,167,13,1,1980-01-06T03:00:55
315964856,231600,58751,8,58751,179,13,1,1980-01-06T03:00:56
315964857,431600,59951,9,59951,192,13,1,1980-01-06T03:00:57
315964858,631600,61151,9,61151,203,13,1,1980-01-06T03:00:58
315964858,631600,61151,9,61151,214,13,1,1980-01-06T03:00:58
315964859,831600,62351,10,62351,227,13,1,1980-01-06T03:00:59
315964861,31600,63551,10,63551,239,13,1,1980-01-06T03:01:01
315964862,231600,64751,10,64751,250,13,1,1980-01-06T03:01:02
315964863,431600,65951,11,65951,7,13,1,1980-01-06T03:01:03
315964864,631600,67151,11,67151,18,13,1,1980-01-06T03:01:04
315964864,631600,67151,11,67151,29,13,1,1980-01-06T03:01:04
315964865,831600,68351,12,68351,43,13,1,1980-01-06T03:01:05
315964867,31600,69551,12,69551,54,13,1,1980-01-06T03:01:07
315964868,231700,70751,12,70751,65,13,1,1980-01-06T03:01:08
315964869,431700,71951,12,71951,78,13,1,1980-01-06T03:01:09
315964870,631700,73151,13,73151,89,13,1,1980-01-06T03:01:10
315964870,631700,73151,13,73151,101,13,1,1980-01-06T03:01:10
315964871,831600,74351,14,74351,114,13,1,1980-01-06T03:01:11
315964873,31600,75551,14,75404,125,13,1,1980-01-06T03:01:13
315964874,231600,76751,14,75600,136,13,1,1980-01-06T03:01:14
315964875,431600,77951,14,75600,149,13,1,1980-01-06T03:01:15
315964876,631600,79151,14,75600,161,13,1,1980-01-06T03:01:16
315964876,631600,79151,14,75600,172,13,1,1980-01-06T03:01:16
315964877,831600,80351,14,75600,185,13,1,1980-01-06T03:01:17
315964879,31600,81551,15,75600,196,13,1,1980-01-06T03:01:19
315964880,231600,82751,15,75600,207,13,1,1980-01-06T03:01:20
315964881,431600,83951,16,75600,221,13,1,1980-01-06T03:01:21
315964882,631700,85151,16,75600,232,13,1,1980-01-06T03:01:22
315964882,631700,85151,16,75600,243,13,1,1980-01-06T03:01:22
315964883,831700,86351,16,75600,0,13,1,1980-01-06T03:01:23
315964885,31600,87551,15,75600,11,13,1,1980-01-06T03:01:25
315964886,231600,88751,16,75600,23,13,1,1980-01-06T03:01:26
315964887,431600,89951,16,75600,36,13,1,1980-01-06T03:01:27
315964888,631600,91151,16,75600,47,13,1,1980-01-06T03:01:28
315964888,631600,91151,16,75600,58,13,1,1980-01-06T03:01:28
315964889,831600,92351,17,75600,71,13,1,1980-01-06T03:01:29
315964891,31600,93551,16,75600,83,13,1,1980-01-06T03:01:31
315964892,231600,94751,16,75600,94,13,1,1980-01-06T03:01:32
315964893,431600,95951,15,75600,107,13,1,1980-01-06T03:01:33
315964894,631600,97151,16,75600,118,13,1,1980-01-06T03:01:34
315964894,631600,97151,16,75600,129,13,1,1980-01-06T03:01:34
315964895,831700,98351,16,75600,143,13,1,1980-01-06T03:01:35
315964897,31700,99551,16,75600,154,13,1,1980-01-06T03:01:37
315964898,231600,100751,16,75600,165,13,1,1980-01-06T03:01:38
315964899,431600,101951,16,75600,178,13,1,1980-01-06T03:01:39
315964900,631600,103151,16,75600,189,13,1,1980-01-06T03:01:40
315964900,631600,103151,16,75600,201,13,1,1980-01-06T03:01:40
315964901,831600,104351,17,75600,214,13,1,1980-01-06T03:01:41
315964903,31600,105551,17,75600,225,13,1,1980-01-06T03:01:43
315964904,231600,106751,17,75600,236,13,1,1980-01-06T03:01:44
315964905,431600,107951,17,75600,249,13,1,1980-01-06T03:01:45
315964906,631600,109151,16,75600,5,13,1,1980-01-06T03:01:46
315964906,631600,109151,16,75600,16,13,1,1980-01-06T03:01:46
315964907,831600,110351,16,75600,29,13,1,1980-01-06T03:01:47
315964909,31600,111551,16,75600,40,13,1,1980-01-06T03:01:49
315964910,231700,112751,16,75600,51,13,1,1980-01-06T03:01:50
315964911,431700,113951,15,75600,65,13,1,1980-01-06T03:01:51
315964912,631600,115151,16,75600,76,13,1,1980-01-06T03:01:52
315964912,631600,115151,16,75600,87,13,1,1980-01-06T03:01:52
315964913,831600,116351,16,75600,100,13,1,1980-01-06T03:01:53
315964915,31600,117551,16,75600,111,13,1,1980-01-06T03:01:55
315964916,231600,118751,16,75600,123,13,1,1980-01-06T03:01:56
315964917,431600,119951,17,75600,136,13,1,1980-01-06T03:01:57
315964918,631600,121151,17,75600,147,13,1,1980-01-06T03:01:58
315964918,631600,121151,17,75600,158,13,1,1980-01-06T03:01:58
315964919,831600,122351,17,75600,171,13,1,1980-01-06T03:01:59
315964921,31600,123551,17,75600,183,13,1,1980-01-06T03:02:01
315964922,231600,124751,17,75600,194,13,1,1980-01-06T03:02:02
315964923,431600,125951,17,75600,207,13,1,1980-01-06T03:02:03
315964924,631700,127151,17,75600,218,13,1,1980-01-06T03:02:04
315964924,631700,127151,17,75600,229,13,1,1980-01-06T03:02:04
315964925,831700,128351,17,75600,243,13,1,1980-01-06T03:02:05
315964927,31600,129551,17,75600,254,13,1,1980-01-06T03:02:07
315964928,231600,130751,17,75600,9,13,1,1980-01-06T03:02:08
315964929,431600,131951,16,75600,22,13,1,1980-01-06T03:02:09
315964930,631600,133151,15,75600,33,13,1,1980-01-06T03:02:10
315964930,631600,133151,15,75600,45,13,1,1980-01-06T03:02:10
315964931,831600,134351,15,75600,58,13,1,1980-01-06T03:02:11
315964933,31600,135551,14,75600,69,13,1,1980-01-06T03:02:13
315964934,231600,136751,14,75600,80,13,1,1980-01-06T03:02:14
315964935,431600,137951,13,75600,93,13,1,1980-01-06T03:02:15
315964936,631600,139151,13,75600,105,13,1,1980-01-06T03:02:16
315964936,631600,139151,13,75600,116,13,1,1980-01-06T03:02:16
315964937,831700,140351,13,75600,129,13,1,1980-01-06T03:02:17
315964939,31700,141551,12,75600,140,13,1,1980-01-06T03:02:19
315964940,231600,142751,12,75600,151,13,1,1980-01-06T03:02:20
