time_s,time_us,time_steady,temperature,seq,srcSystem,srcComponent,time_gregorian
315964845,431000,48074,14.8125,223,12,2,1980-01-06T03:00:45
315964846,393000,49076,14.8125,231,12,2,1980-01-06T03:00:46
315964847,352000,50075,14.8125,241,12,2,1980-01-06T03:00:47
315964848,311000,51073,14.8125,249,12,2,1980-01-06T03:00:48
315964849,270000,52073,14.8125,3,12,2,1980-01-06T03:00:49
315964850,232000,53075,14.8125,11,12,2,1980-01-06T03:00:50
315964851,191000,54074,14.875,21,12,2,1980-01-06T03:00:51
315964852,149000,55072,14.875,29,12,2,1980-01-06T03:00:52
315964853,421000,56076,14.875,39,12,2,1980-01-06T03:00:53
315964854,379000,57074,14.875,47,12,2,1980-01-06T03:00:54
315964855,339000,58073,14.875,57,12,2,1980-01-06T03:00:55
315964856,301000,59075,14.875,65,12,2,1980-01-06T03:00:56
315964857,260000,60075,14.875,75,12,2,1980-01-06T03:00:57
315964858,218000,61073,14.875,83,12,2,1980-01-06T03:00:58
315964859,177000,62072,14.875,93,12,2,1980-01-06T03:00:59
315964860,449000,63074,14.9375,101,12,2,1980-01-06T03:01:00
315964861,409000,64074,14.9375,111,12,2,1980-01-06T03:01:01
315964862,371000,65076,14.875,119,12,2,1980-01-06T03:01:02
315964863,330000,66075,14.9375,129,12,2,1980-01-06T03:01:03
315964864,288000,67073,14.9375,137,12,2,1980-01-06T03:01:04
315964865,248000,68073,14.9375,147,12,2,1980-01-06T03:01:05
315964866,210000,69075,14.9375,155,12,2,1980-01-06T03:01:06
315964867,169000,70074,14.9375,165,12,2,1980-01-06T03:01:07
315964868,440000,71072,14.9375,173,12,2,1980-01-06T03:01:08
315964869,403000,72076,14.9375,183,12,2,1980-01-06T03:01:09
315964870,362000,73074,14.9375,191,12,2,1980-01-06T03:01:10
315964871,321000,74073,15.0,201,12,2,1980-01-06T03:01:11
315964872,283000,75075,15.0,209,12,2,1980-01-06T03:01:12
315964873,242000,76075,15.0,219,12,2,1980-01-06T03:01:13
315964874,201000,77073,15.0,227,12,2,1980-01-06T03:01:14
315964875,160000,78072,15.0,237,12,2,1980-01-06T03:01:15
315964876,431000,79074,15.0,245,12,2,1980-01-06T03:01:16
315964877,391000,80074,15.0,255,12,2,1980-01-06T03:01:17
315964878,353000,81076,15.0,7,12,2,1980-01-06T03:01:18
315964879,312000,82075,15.0,17,12,2,1980-01-06T03:01:19
315964880,270000,83073,15.0,25,12,2,1980-01-06T03:01:20
315964881,230000,84073,15.0,35,12,2,1980-01-06T03:01:21
315964882,191000,85075,15.0625,43,12,2,1980-01-06T03:01:22
315964883,151000,86074,15.0625,53,12,2,1980-01-06T03:01:23
315964884,419000,87072,15.0625,61,12,2,1980-01-06T03:01:24
315964885,382000,88076,15.0625,71,12,2,1980-01-06T03:01:25
315964886,341000,89074,15.0625,79,12,2,1980-01-06T03:01:26
315964887,300000,90073,15.0625,89,12,2,1980-01-06T03:01:27
315964888,262000,91075,15.0625,97,12,2,1980-01-06T03:01:28
315964889,222000,92075,15.0625,107,12,2,1980-01-06T03:01:29
315964890,180000,93073,15.125,115,12,2,1980-01-06T03:01:30
315964891,448000,94073,15.0625,125,12,2,1980-01-06T03:01:31
315964892,409000,95075,15.125,133,12,2,1980-01-06T03:01:32
315964893,369000,96074,15.125,143,12,2,1980-01-06T03:01:33
315964894,327000,97072,15.125,151,12,2,1980-01-06T03:01:34
315964895,291000,98076,15.125,161,12,2,1980-01-06T03:01:35
315964896,249000,99074,15.125,169,12,2,1980-01-06T03:01:36
315964897,209000,100073,15.125,179,12,2,1980-01-06T03:01:37
315964898,171000,101075,15.125,187,12,2,1980-01-06T03:01:38
315964899,439000,102075,15.125,197,12,2,1980-01-06T03:01:39
315964900,398000,103073,15.125,205,12,2,1980-01-06T03:01:40
315964901,357000,104072,15.125,215,12,2,1980-01-06T03:01:41
315964902,319000,105074,15.125,223,12,2,1980-01-06T03:01:42
315964903,279000,106074,15.1875,233,12,2,1980-01-06T03:01:43
315964904,241000,107076,15.1875,241,12,2,1980-01-06T03:01:44
315964905,201000,108075,15.1875,251,12,2,1980-01-06T03:01:45
315964906,159000,109073,15.1875,3,12,2,1980-01-06T03:01:46
315964907,428000,110073,15.1875,13,12,2,1980-01-06T03:01:47
315964908,390000,111075,15.1875,21,12,2,1980-01-06T03:01:48
315964909,350000,112074,15.1875,31,12,2,1980-01-06T03:01:49
315964910,308000,113072,15.1875,39,12,2,1980-01-06T03:01:50
315964911,272000,114076,15.1875,49,12,2,1980-01-06T03:01:51
315964912,230000,115074,15.1875,57,12,2,1980-01-06T03:01:52
315964913,189000,116074,15.25,67,12,2,1980-01-06T03:01:53
315964914,152000,117075,15.1875,75,12,2,1980-01-06T03:01:54
315964915,423000,118075,15.25,85,12,2,1980-01-06T03:01:55
315964916,381000,119073,15.25,93,12,2,1980-01-06T03:01:56
315964917,341000,120073,15.25,103,12,2,1980-01-06T03:01:57
315964918,303000,121075,15.25,111,12,2,1980-01-06T03:01:58
315964919,263000,122074,15.25,121,12,2,1980-01-06T03:01:59
315964920,221000,123072,15.25,129,12,2,1980-01-06T03:02:00
315964921,185000,124076,15.25,139,12,2,1980-01-06T03:02:01
315964922,450000,125074,15.25,147,12,2,1980-01-06T03:02:02
315964923,410000,126073,15.25,157,12,2,1980-01-06T03:02:03
315964924,372000,127075,15.25,165,12,2,1980-01-06T03:02:04
315964925,332000,128075,15.25,175,12,2,1980-01-06T03:02:05
315964926,291000,129073,15.3125,186,12,2,1980-01-06T03:02:06
315964927,250000,130072,15.3125,196,12,2,1980-01-06T03:02:07
315964928,213000,131074,15.3125,205,12,2,1980-01-06T03:02:08
315964929,173000,132074,15.3125,215,12,2,1980-01-06T03:02:09
315964930,443000,133076,15.3125,223,12,2,1980-01-06T03:02:10
315964931,403000,134076,15.3125,233,12,2,1980-01-06T03:02:11
